Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters
14,514.5,640.5,466.5,783.5,678.6764526,973.5,1660790000000000.0,0.21666675,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3508915410248378,0.4050877577080099,0.5033221852313308
15,514.5,640.5,466.5,783.5,678.5856934,973.4857178,1660790000000000.0,0.23333325,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3508446164034985,0.4050877577080099,0.5033148010011161
16,514.5,640.5,466.5,783.5,678.5810547,973.4865112,1660790000000000.0,0.25,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.35084221808750404,0.4050877577080099,0.5033152112074045
17,514.5,640.5,466.5,783.5,678.7745361,973.6568604,1660790000000000.0,0.26666675,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.35094225247995353,0.4050877577080099,0.5034032857134101
18,514.5,640.5,466.5,783.5,678.6571655,973.3905029,1660790000000000.0,0.28333325,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3508815691446953,0.4050877577080099,0.5032655726790467
19,514.5,640.5,466.5,783.5,678.3966064,973.3966064,1660790000000000.0,0.3,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3507468540182506,0.4050877577080099,0.5032687283307751
20,514.5,640.5,466.5,783.5,678.1860352,973.3372192,1660790000000000.0,0.3166665,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3506379838009617,0.4050877577080099,0.5032380237644898
21,514.5,640.5,466.5,783.5,677.6875,973.03125,1660790000000000.0,0.33333325,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3503802294853184,0.4050877577080099,0.5030798305581646
22,514.5,640.5,466.5,783.5,678.0933228,973.3911133,1660790000000000.0,0.35,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3505900493297074,0.4050877577080099,0.5032658882700708
23,514.5,640.5,466.5,783.5,676.8008423,973.1514893,1660790000000000.0,0.3666665,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.34992180679285184,0.4050877577080099,0.5031419970781715
24,514.5,640.5,466.5,783.5,676.9074097,972.972229,1660790000000000.0,0.3833335,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3499769046219658,0.4050877577080099,0.5030493153258128
25,514.5,640.5,466.5,783.5,676.9074097,972.972229,1660790000000000.0,0.4,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3499769046219658,0.4050877577080099,0.5030493153258128
26,514.5,640.5,466.5,783.5,676.68573,972.8713989,1660790000000000.0,0.41666675,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3498622910513182,0.4050877577080099,0.5029971838144938
27,514.5,640.5,466.5,783.5,676.5132446,973.105835,1660790000000000.0,0.4333335,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3497731120801333,0.4050877577080099,0.5031183927412005
28,514.5,640.5,466.5,783.5,676.5,972.9629517,1660790000000000.0,0.45,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.34976626431329766,0.4050877577080099,0.5030445187455261
29,514.5,640.5,466.5,783.5,676.5,972.9629517,1660790000000000.0,0.46666675,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.34976626431329766,0.4050877577080099,0.5030445187455261
30,514.5,640.5,466.5,783.5,676.0812988,972.4146118,1660790000000000.0,0.48333325,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.34954978603600645,0.4050877577080099,0.5027610142393961
31,514.5,640.5,466.5,783.5,675.6292725,972.2177124,1660790000000000.0,0.5,0.26600848926709775,0.3311534254141421,0.2411913707348904,0.3493160779054486,0.4050877577080099,0.5026592126612979
