Frame #,Arm Pink X,Arm Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Leg Orange X,Leg Orange Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Back Pink X meters,Neck Green X meters,Shoulder Orange X meters,Leg Orange X meters,Arm Pink Y meters,Back Pink Y meters,Neck Green Y meters,Shoulder Orange Y meters,Leg Orange Y meters,angular velocity
33.0,355.5,1006.5,530.916687,1020.730164,532.3621216,871.8312988,379.9204407,875.4886475,428.3469849,1401.296265,1660006515533333.2,-1.1000906666536727,0.53333325,0.4528085150557589,0.6762407782244533,0.6780818614729377,0.4839133912593432,0.5455953928584545,-1.2820021670987942,-1.3001274538212693,-1.1104715493354758,-1.1151299983759486,-1.7848632374341244,-0.06738332749118969
34.0,355.5,1006.5,530.916687,1020.730164,532.5,872.0,379.9204407,875.4886475,428.3469849,1401.296265,1660006515550000.0,-1.1538313012460966,0.55,0.4528085150557589,0.6762407782244533,0.6782574803577823,0.4839133912593432,0.5455953928584545,-1.2820021670987942,-1.3001274538212693,-1.1106864279286126,-1.1151299983759486,-1.7848632374341244,-0.05374063459242384
35.0,355.5,1006.5,531.0,1020.699158,532.5,872.1898193,379.9204407,875.4886475,428.3469849,1401.296265,1660006515566666.5,-1.1547029752161295,0.5666665,0.4528085150557589,0.6763468959060703,0.6782574803577823,0.4839133912593432,0.5455953928584545,-1.2820021670987942,-1.3000879607669296,-1.110928205130756,-1.1151299983759486,-1.7848632374341244,-0.0008716739700329601
36.0,355.4142761,1006.223816,531.0,1021.0,532.4143066,872.2238159,379.9204407,875.4886475,428.3469849,1401.296265,1660006515583333.2,-1.119507505331066,0.58333325,0.4526993265554388,0.6763468959060703,0.6781483307060128,0.4839133912593432,0.5455953928584545,-1.2816503851946532,-1.3004711501320108,-1.1109715073810031,-1.1151299983759486,-1.7848632374341244,0.03519546988506361
37.0,355.1910706,1005.739807,530.8977051,1020.897705,532.2238159,872.4143066,379.9204407,875.4886475,428.3469849,1401.296265,1660006515600000.0,-1.0477178810490193,0.6,0.4524150245835477,0.6762166005424507,0.6779056983262689,0.4839133912593432,0.5455953928584545,-1.2810338918147277,-1.300340854641019,-1.1112141397607471,-1.1151299983759486,-1.7848632374341244,0.0717896242820466
38.0,355.2698364,1005.722229,530.8312988,1020.637878,532.3059082,872.123291,379.9204407,875.4886475,428.3469849,1401.296265,1660006515616666.5,-1.0803189077335789,0.6166665,0.4525153503920855,0.6761320173129335,0.6780102611742591,0.4839133912593432,0.5455953928584545,-1.2810115023123991,-1.3000099070234623,-1.1108434665070366,-1.1151299983759486,-1.7848632374341244,-0.03260102668455955
39.0,355.2698364,1005.722229,531.0,1020.5,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515633333.5,-0.8883237808937612,0.6333335,0.4525153503920855,0.6763468959060703,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2810115023123991,-1.299834288648107,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.19199512683981768
40.0,354.6465759,1005.269104,530.8312988,1020.637878,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515650000.0,-0.887506074563103,0.65,0.451721489178308,0.6761320173129335,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2804343465926111,-1.3000099070234623,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.0008177063306581411
41.0,354.5,1005.0,530.6450195,1020.64502,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515666666.8,-0.8874648116059631,0.66666675,0.4515347920879509,0.6758947490900963,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2800915826470822,-1.3000190039528985,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,4.126295713990924e-05
42.0,354.5,1005.0,530.6450195,1020.64502,531.8101807,871.5,379.9204407,875.4886475,428.3469849,1401.296265,1660006515683333.5,-0.8874648116059631,0.6833335,0.4515347920879509,0.6758947490900963,0.6773788416717351,0.4839133912593432,0.5455953928584545,-1.2800915826470822,-1.3000190039528985,-1.1100495664447083,-1.1151299983759486,-1.7848632374341244,0.0
