Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),Seconds,vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m)
1660782258303315,0.8764171816586561,-0.1902494850080112,0.4107118333714812,32.813997,-0.03240707104416795,-0.01238538657597974,0.2852655153824806,0.06684223373622483,0.2499823858996268,0.4119492462483695
1660782258319330,0.8573739223315782,-0.2135652704661632,0.4242618448157476,32.830012,-0.02935637049595351,-0.01384795740873152,0.2951267518704315,0.06521058913579648,0.2532553148855021,0.4117487249663027
1660782258335345,0.8684824902723731,-0.2200350957503625,0.4387884336614025,32.846027,-0.02649057888448566,-0.01468071454147827,0.3036088837686163,0.06350389570771432,0.2567811703963564,0.4114238419380993
1660782258351360,0.8754406042572676,-0.2124666208896011,0.4331731136034182,32.862042,-0.02369739137985909,-0.01496093518926133,0.3107891691352893,0.06174071989286783,0.2605403234249026,0.4109745229951929
1660782258367375,0.8695811398489353,-0.2402990768291752,0.4216983291371026,32.878057,-0.02085806371851463,-0.0147762093491472,0.3167601567791579,0.059937804815964,0.2645173579026207,0.4103996805104891
1660782258383390,0.8449225604638739,-0.2466468299382009,0.4260929274433511,32.894072,-0.01786454697221519,-0.01424095925783581,0.3216164856342797,0.05810974511704959,0.2686966536276866,0.4097004126078798
1660782258399405,0.816723887998779,-0.2732585641260394,0.451728084229801,32.910087,-0.01462636384719743,-0.01348537277459174,0.3254636728533455,0.05626864140011418,0.2730623754519592,0.4088797517176417
1660782258415420,0.8224612802319369,-0.3082932784008543,0.4502632181277182,32.926102,-0.01106843102876849,-0.01264690740698136,0.3284300800028967,0.0544238069087948,0.2776002830943342,0.4079411336736474
1660782258431435,0.826977950713359,-0.3092698558022428,0.4462348363469903,32.942117,-0.007125658592666487,-0.01190165648859564,0.3306655369880396,0.05258127306387947,0.2822951057557443,0.4068903187792978
1660782258447450,0.8136720836194398,-0.296696421759365,0.4566109712367439,32.958132,-0.002738598653036708,-0.01150245207043181,0.332340773905518,0.05074282108926991,0.2871299635441367,0.4057356745422679
1660782258463465,0.8013427939269091,-0.3046311131456471,0.4486762798504617,32.974147,0.002147144056000116,-0.01175490834448745,0.333650026042777,0.04890490698676319,0.2920892826993979,0.4044856860738839
1660782258479461,0.7997558556496527,-0.3328297856107425,0.4375677119096668,32.990143,0.007574328679449179,-0.0129462002631806,0.3348037480578494,0.04705826404686336,0.2971586265334506,0.4031490420374559
1660782258495476,0.7935301747158006,-0.3441824979018846,0.4516060120546274,33.006158,0.01355938019251408,-0.01529866192908796,0.3360065955145236,0.0451884368520558,0.3023240351851656,0.401735189512122
1660782258511491,0.797680628671702,-0.3499198901350424,0.4461127641718168,33.022173,0.02007444551192913,-0.0189498478599332,0.3374098238129381,0.04327705279133001,0.3075733924680266,0.4002528132622687
1660782258527506,0.7750972762645914,-0.3445487144274053,0.4274357213702604,33.038188,0.0270333267647778,-0.02390242351533237,0.3390500994935789,0.04130401360723288,0.312896030365536,0.398709072877945
1660782258543522,0.7542229343099107,-0.3595635919737545,0.4240177004654004,33.054204,0.03428646403886596,-0.02993853376669649,0.3408341793076293,0.03925093325177609,0.3182825698835136,0.3971084954697322
1660782258559537,0.7765621423666742,-0.3877622644388494,0.4148622873273826,33.070219,0.04162775494297648,-0.03658949995785698,0.3425860337565839,0.03710525196330437,0.3237255990962229,0.395451732926807
1660782258575552,0.8057373922331577,-0.4054627298390172,0.3899595635919741,33.086234,0.04881320295244335,-0.04325206840417437,0.3440911242241588,0.03486338994014819,0.3292168092294732,0.3937379036826256
1660782258591567,0.7768062867170213,-0.3961852445258258,0.4251163500419626,33.102249,0.05558656660868719,-0.04936517568564028,0.3451056439606556,0.03253165786265777,0.3347460669997044,0.3919651099590301
1660782258607582,0.726268406195163,-0.3889829861905851,0.4760204470893416,33.118264,0.06170750586252485,-0.05446658039480229,0.3453844751269622,0.03012540270172329,0.3403074920592866,0.3901244174991988
1660782258623597,0.727122911421378,-0.4124208438239107,0.4987258716716258,33.134279,0.06698400814452987,-0.05816822441859709,0.3447565793070606,0.02766751951719441,0.345902610530741,0.3881969904527073
1660782258639612,0.7307850766765851,-0.445746547646296,0.4909132524605173,33.150294,0.07130646807442767,-0.06022301236854464,0.3431851929774146,0.0251861298089309,0.3515352079100336,0.3861600287869433
1660782258655627,0.7243152513923858,-0.4558785381857024,0.5056839856565194,33.166309,0.07467258457531797,-0.06063269052645188,0.3407635075735195,0.02271082686607865,0.3572058124527357,0.3839937473905005
1660782258671642,0.7111314564736402,-0.4379339284351875,0.5421835660334171,33.182324,0.07719636615476765,-0.0596424854411887,0.3376804065723659,0.02026836534282797,0.3629100944660726,0.3816846987114276
1660782258687657,0.6642557412069889,-0.4446478980697339,0.5679407949950406,33.198339,0.07909787457156597,-0.05764856348031262,0.334186800363702,0.01787930052916664,0.3686415639417295,0.3792248685063818
1660782258703672,0.6789044022278174,-0.4743114366369116,0.5569542992294192,33.214354,0.08067065550661075,-0.0551005536256158,0.3305532765209522,0.01555624748943634,0.3743977811645713,0.3766067593492859
1660782258719687,0.7130846112764173,-0.4973830777447166,0.5526817730983442,33.230369,0.08222922725414591,-0.05242344941792296,0.3270262610396386,0.0133037005007829,0.3801805887360721,0.3738233972948714
1660782258735702,0.690989547570001,-0.4789501792935073,0.5557335774776835,33.246384,0.08404549168916588,-0.04998613768462705,0.3237922617810519,0.01111892908396582,0.3859884674368279,0.370875603086278
1660782258751717,0.6654764629587246,-0.4596627756160831,0.5570763714045928,33.262399,0.08629152073325232,-0.04807989886661147,0.3209543157939175,0.00899347745043049,0.391815516256506,0.3677717924745503
1660782258767732,0.6283665217059591,-0.455146105134661,0.5521934843976499,33.278414,0.08900713730764775,-0.04685257323732704,0.3185386600014661,0.006915335905943673,0.3976577539116383,0.3645192853994862
1660782258783747,0.6348363469901583,-0.487006942854963,0.5493858243686578,33.294429,0.09209832531209193,-0.04626778636659265,0.3165138536906509,0.004871747304030776,0.4035125977809489,0.3611228971475784
1660782258799774,0.6515602349889376,-0.5247272449835965,0.5580529488059813,33.310456,0.0953637793847471,-0.0461459033872491,0.3147934539378099,0.00285192498866077,0.4093747303599495,0.357588206143805
1660782258815788,0.6295872434576948,-0.5235065232318608,0.5744106202792398,33.32647,0.09854277672623914,-0.04623221112512424,0.3132549885133432,0.0008489282466475098,0.4152385316773096,0.3539179720936064
1660782258831803,0.612497138933394,-0.509224078736553,0.5808804455634391,33.342485,0.1013706216921236,-0.04626195010929407,0.3117825533533418,-0.001139631024615827,0.4211011790221622,0.3501081169319836
1660782258847818,0.593698023956664,-0.5186236362249179,0.5913786526283662,33.3585,0.1036271559459884,-0.04601961434763533,0.3102716542709243,-0.003111932285688658,0.4269613156395407,0.3461493504157956
1660782258863832,0.609079118028534,-0.5310749980926222,0.5897917143511098,33.374514,0.1051712070496845,-0.04536733897300466,0.3086024746419466,-0.005062809787373865,0.4328182977675391,0.3420282694778275
1660782258879847,0.6063935301747154,-0.5421835660334171,0.5974822613870447,33.390529,0.1059587944043029,-0.04425406783064242,0.3066499566508148,-0.006984809191614384,0.438671451436062,0.3377285345037829
1660782258895861,0.5939421683070112,-0.5413290608072021,0.6123750667582204,33.406543,0.1060445543579299,-0.04271525669111186,0.3043197018679113,-0.00886948930679245,0.4445169763611893,0.3332357147275375
1660782258911876,0.5694056610971234,-0.5471885252155335,0.6381322957198448,33.422558,0.1055685978212551,-0.04083883535321672,0.3015612270139554,-0.01070868244328925,0.4503477748252446,0.3285391813780669
1660782258927890,0.5447470817120621,-0.5635461966887925,0.6332494087129019,33.438572,0.1047315715694424,-0.03872465250749495,0.2983698842532474,-0.0124952986852648,0.456156723888714,0.3236294486459633
1660782258943905,0.527412832837415,-0.5766079194323646,0.6376440070191505,33.454587,0.1037611947086721,-0.03646979571247916,0.2947890141102498,-0.01422376387854269,0.4619371066422431,0.318498912580761
1660782258959920,0.5397421225299457,-0.5889372091248952,0.6405737392233162,33.470602,0.1028766625820348,-0.0341481308715741,0.2908957453964932,-0.01589016612506745,0.4676809416841988,0.3131452859896303
1660782258975934,0.5293659876401922,-0.5945525291828795,0.6419165331502255,33.486616,0.1022565034223103,-0.0317905239510354,0.2867828251452074,-0.01749199418276273,0.4733794224302245,0.3075717167206752
1660782258991949,0.5116655222400244,-0.5800259403372245,0.646311131456474,33.502631,0.1020143728834553,-0.02941145518214723,0.28254161568374,-0.01902778268000023,0.4790240702031621,0.301784979031437
1660782259007963,0.4999465934233615,-0.5714808880750746,0.6424048218509197,33.518645,0.1021911419342705,-0.02704702244854729,0.2782212610103179,-0.02049697378015919,0.4846065504805259,0.2957943379194236
1660782259023978,0.4888380254825666,-0.5635461966887925,0.637766079194324,33.53466,0.102769974480759,-0.02474551290673361,0.2738022838591277,-0.02189970796078802,0.4901182339266759,0.2896099109849638
1660782259039992,0.4726024261844816,-0.5716029602502481,0.6414282444495312,33.550674,0.103709880854941,-0.0225463181751066,0.2692471358979082,-0.02323650004155133,0.4955506686866227,0.2832402081035597
1660782259056007,0.4713817044327459,-0.5957732509346152,0.6576638437476161,33.566689,0.1049841563107374,-0.02050809616751391,0.2645677456763255,-0.02450843667783228,0.5008953395205812,0.2766925975040341
1660782259072022,0.4569771877622646,-0.5987029831387809,0.6728007934691389,33.582704,0.10660982566355,-0.01875198501755572,0.2598207582002009,-0.02571811958272394,0.5061412481626948,0.2699788004412075
1660782259088036,0.4429388876173039,-0.5911345082780195,0.677317463950561,33.598718,0.1086569599813298,-0.01744763564043119,0.2550837602920226,-0.0268706974000139,0.5112745660792726,0.2631171547783291
1660782259104051,0.4319523918516825,-0.6198214694438087,0.6581521324483104,33.614733,0.1112304032906352,-0.01675834552108384,0.2504809239935646,-0.02797442843141075,0.5162829155266894,0.2561263714628446
1660782259120086,0.4253604943923097,-0.6240939955748837,0.6483863584344247,33.630768,0.1144271205968814,-0.01680205726582886,0.2461860563508964,-0.02904070814170084,0.5211581791996047,0.249021452091669
1660782259136101,0.4192568856336311,-0.6002899214160373,0.6478980697337304,33.646783,0.1182850789027759,-0.01761194884054317,0.242349825612394,-0.03008327485598877,0.5258954023985721,0.2418159755501741
1660782259152116,0.4246280613412683,-0.5822232394903488,0.6398413061722747,33.662798,0.1227428227679809,-0.0190666079501602,0.2390504065692204,-0.03111617037195744,0.5304925024617216,0.2345216149715418
1660782259168131,0.4184023804074162,-0.5707484550240332,0.6472877088578626,33.678813,0.1276248599190663,-0.02085877992700077,0.236341643193659,-0.03215099552902754,0.5349510285926937,0.2271458789592352
1660782259184147,0.4057068741893648,-0.5893034256504159,0.6467994201571683,33.694829,0.1326606526583171,-0.02260352050416543,0.2343068256986372,-0.03319510605917883,0.5392760486566103,0.2196928927477718
1660782259200162,0.3902037079423213,-0.6028534370946823,0.6586404211490047,33.710844,0.1375330264621421,-0.0240274486258111,0.2330218378257717,-0.03425193618568449,0.5434759220285469,0.2121629302752387
1660782259216177,0.3839780270084691,-0.604074158846418,0.6778057526512553,33.726859,0.1419425302449698,-0.02504091211079688,0.2324969049080386,-0.03532275254797927,0.5475608790944463,0.2045516538326205
1660782259232192,0.3700617990386812,-0.5967498283360038,0.6859845883878846,33.742874,0.1456715036710165,-0.0256549334880128,0.2327046796405066,-0.03640821176984438,0.5515406979778842,0.1968523185133136
1660782259248207,0.3577325093461505,-0.5932097352559702,0.7069810025177388,33.758889,0.1486282131212525,-0.02591436119922194,0.2336395095466129,-0.03750922879904989,0.5554244161137596,0.1890567985955835
1660782259264222,0.3504081788357363,-0.6127412832837416,0.7263904783703365,33.774904,0.1508548731500575,-0.0259120470679269,0.2352816169051138,-0.03862757415153788,0.559220595559446,0.1811562400095141
1660782259280237,0.3626153963530933,-0.6277561608300908,0.7250476844434273,33.790919,0.1524998829529222,-0.02579658258093936,0.2374917826086972,-0.03976605853351511,0.5629358572696057,0.1731432808197634
1660782259296252,0.3623712520027462,-0.6139620050354773,0.7066147859922181,33.806934,0.153770413219856,-0.02574270622099009,0.2399750375312298,-0.04092799965243709,0.5665731826092212,0.1650114262202031
1660782259312267,0.3494316014343477,-0.5906462195773252,0.7011215381094074,33.822949,0.1548863254436306,-0.02589404974967832,0.2423553750000766,-0.04211624101317072,0.5701302597315085,0.1567550614335441
1660782259328282,0.3330739299610892,-0.5803921568627453,0.7033188372625316,33.838964,0.1560494767099382,-0.02629382289537488,0.2442846486293389,-0.0433320282124034,0.5735983750462087,0.1483736404163503
1660782259344297,0.3036545357442586,-0.5902800030518045,0.7208972304875259,33.854979,0.1574317358628406,-0.02687234267701724,0.2455282477323077,-0.044574096727197,0.5769643264922696,0.1398715695878666
1660782259360312,0.265690089265278,-0.6267795834287022,0.7371328297856108,33.870994,0.1591780542784157,-0.02749353741453506,0.2460053596979378,-0.04583849898358093,0.5802139895307312,0.1312537923763278
1660782259376327,0.2558022430762188,-0.6353246356908522,0.7449454489967193,33.887009,0.1614149358093167,-0.02798658664616615,0.2457496417158433,-0.04711897627111108,0.5833345717591677,0.122524521731069
1660782259392342,0.2575112535286488,-0.6236057068741894,0.7393301289387351,33.903024,0.1642515225306573,-0.02818774661775501,0.2448266906057845,-0.04840735194710078,0.5863155816760851,0.1136863443868346
1660782259408357,0.2401770046540017,-0.5978484779125659,0.7354238193331808,33.919039,0.1677657386816137,-0.02802619802252858,0.2433089931442756,-0.04969437866556997,0.5891480085559317,0.1047421756021738
1660782259424372,0.2094148165102618,-0.5827115281910431,0.7520256351567864,33.935054,0.1719789501827181,-0.02755385074499362,0.2412964091298953,-0.05097136850977235,0.5918221088260777,0.09570505555765672
1660782259440368,0.1950102998397804,-0.5845426108186467,0.7617914091706721,33.95105,0.1768304405170981,-0.02687288056787543,0.2388911532555486,-0.05223150950192176,0.5943273643068931,0.08660003594282853
1660782259456383,0.1946440833142597,-0.5930876630807966,0.7573968108644236,33.967065,0.1821628660251265,-0.02606149297423566,0.2361516888712294,-0.05346988144074023,0.5966545491144616,0.07744962068446622
1660782259472397,0.1721828030823227,-0.5695277332722974,0.7608148317692836,33.983079,0.1877270919572373,-0.02515494109797023,0.233103193611119,-0.05468268354598071,0.5987961340596643,0.06826365501131079
1660782259488412,0.1535057602807663,-0.5591515983825435,0.7541008621347371,33.999094,0.1932109220573192,-0.02415735600145658,0.2297722057036576,-0.05586659314039549,0.6007451459668564,0.05904345798145709
1660782259504427,0.1404440375371942,-0.5701380941481653,0.7565423056382086,34.015109,0.198289519477824,-0.02307046939229767,0.2261801708340787,-0.05701851813308748,0.6024946927266371,0.04978536498308206
1660782259520441,0.1327534905012592,-0.5946746013580531,0.75727473868925,34.031123,0.2026886711120835,-0.02190699095436961,0.2223268153460126,-0.0581355488941492,0.6040377701591477,0.040480099343163
1660782259536456,0.1117570763714042,-0.6046845197222859,0.782299534599832,34.047138,0.2062445784131442,-0.02065955173074258,0.2182182944573759,-0.05921483374800639,0.6053670515057976,0.03111768999770593
1660782259552470,0.0851453421835657,-0.5939421683070116,0.8194094758525976,34.063152,0.2089385752538514,-0.01927894220508052,0.2139078690626687,-0.06025336383212264,0.6064757687951585,0.02169437532560867
1660782259568485,0.0742809185931179,-0.5962615396353095,0.8172121766994733,34.079167,0.2108924182294554,-0.01771181072529924,0.2094859144255113,-0.06124799109526279,0.6073590934412121,0.01221116565105275
1660782259584499,0.0726939803158615,-0.6007782101167316,0.8048828870069427,34.095181,0.212327080075839,-0.01594507112359415,0.2050281183271886,-0.06219576796076307,0.6080142687440915,0.002669874107275386
1660782259600514,0.0593881132219422,-0.5795376516365303,0.8080567635614555,34.111196,0.2135012976240569,-0.01399230156363516,0.2005633649854787,-0.06309416476823237,0.6084399387082445,-0.00692244428303003
1660782259616529,0.0330205233844509,-0.5571984435797663,0.8151369497215226,34.127211,0.2146496574177888,-0.0118457893273849,0.1960959212867465,-0.06394082105245252,0.6086361134992107,-0.01654900298875708
1660782259632543,0.0231326771953916,-0.561837186236362,0.818432898451209,34.143225,0.2159366234663804,-0.009462111792563069,0.1916467156343419,-0.06473311855124134,0.6086041158368276,-0.02619198808909676
