Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
54.0,652.9804078,1722.1765136,829.0,1440.6356202,714.1536865,1039.264038,658.0809937,1304.369141,1659660193905003.5,0.1239512034453229,0.8833335
55.0,652.9804078,1722.1765136,829.0,1440.6356202,714.5,1039.357178,658.0809937,1304.369141,1659660193921670.2,0.1241261096153268,0.90000025
56.0,652.795105,1721.6574708,829.0,1440.6356202,714.4050903,1039.43042,658.1741333,1304.299194,1659660193938336.8,0.1434270831022789,0.91666675
57.0,652.795105,1721.6574708,829.0,1440.6356202,714.4359131,1039.378174,658.2660522,1304.167725,1659660193955003.5,0.143429324907079,0.9333335
58.0,652.795105,1721.6574708,829.0,1440.6356202,714.4567871,1039.199585,658.2011108,1303.949707,1659660193971670.2,0.1433944141318643,0.95000025
59.0,652.9804078,1720.8104248,829.0,1440.6356202,714.666687,1038.945068,658.3279419,1303.962158,1659660193988336.8,0.1343892581642787,0.96666675
60.0,653.204895,1720.3425292,829.0,1440.6356202,714.7249146,1038.969849,658.2954712,1303.776001,1659660194005003.5,0.1192411635981876,0.9833335
61.0,653.204895,1720.3425292,829.0,1440.6356202,714.8453979,1038.933716,658.4494019,1303.656006,1659660194021670.0,0.1193134359423105,1.0
62.0,653.204895,1720.3425292,829.0,1440.6356202,715.1084595,1038.808716,658.6975708,1303.542114,1659660194038336.8,0.1194603179669267,1.01666675
63.0,653.204895,1720.3425292,829.0,1440.6356202,715.3545532,1038.714844,658.6937256,1303.225098,1659660194055003.5,0.1196029934725832,1.0333335
64.0,653.204895,1720.3425292,829.0,1440.6356202,715.5297852,1038.583374,658.6900024,1303.220825,1659660194071670.0,0.1196893004696892,1.05
65.0,653.204895,1720.3425292,829.0,1440.6356202,715.6221924,1038.755615,658.6900024,1303.220825,1659660194088336.8,0.1197916572479924,1.06666675
66.0,653.204895,1720.3425292,828.7383422,1440.107544,715.8620605,1038.82373,658.7200928,1303.187012,1659660194105003.2,0.1199681822453979,1.08333325
67.0,653.204895,1720.3425292,828.7383422,1440.107544,716.1156616,1038.831421,658.8359985,1303.138672,1659660194121670.0,0.1201396123025623,1.1
68.0,653.204895,1720.3425292,828.7383422,1440.107544,716.2787476,1038.721313,658.8360596,1303.084717,1659660194138336.8,0.1202225824813742,1.11666675
69.0,653.204895,1720.3425292,828.7383422,1440.107544,716.2449951,1039.0,658.8724365,1303.063232,1659660194155003.5,0.1202660254074249,1.1333335
70.0,653.204895,1720.3425292,828.7383422,1440.107544,716.5587769,1038.901733,658.9257813,1303.064575,1659660194171670.2,0.1204525388760694,1.15000025
71.0,653.204895,1720.3425292,828.7383422,1440.107544,716.536499,1039.027588,659.0085449,1303.113892,1659660194188336.8,0.1204675335227236,1.16666675
72.0,653.0,1720.0,828.7383422,1440.107544,716.7817383,1038.946411,659.0021362,1303.154541,1659660194205003.5,0.1403656917903875,1.1833335
73.0,653.0,1720.0,828.7383422,1440.107544,716.7459106,1038.975586,659.0888062,1303.158813,1659660194221670.2,0.1403483212804361,1.20000025
74.0,653.0,1720.0,828.7383422,1440.107544,716.958313,1039.041626,659.0957031,1303.118774,1659660194238336.8,0.1405159214007784,1.21666675
75.0,653.0,1720.0,828.7383422,1440.107544,717.1408081,1039.153198,659.2369995,1303.254272,1659660194255003.5,0.1406748056962378,1.2333335
76.0,653.0,1720.0,828.7383422,1440.107544,717.3311768,1039.376343,659.40448,1303.278076,1659660194271670.0,0.1408696235685773,1.25
77.0,653.0,1720.0,828.7383422,1440.107544,717.1253052,1039.391479,659.4515991,1303.284912,1659660194288336.8,0.1407285276538842,1.26666675
78.0,653.0,1720.0,828.7383422,1440.107544,717.5,1039.5,659.6861572,1303.762939,1659660194305003.5,0.1410223284823954,1.2833335
79.0,653.0,1720.0,828.7383422,1440.107544,717.53125,1039.550049,659.6901855,1303.746826,1659660194321670.0,0.1410580002622934,1.3
80.0,652.7807618,1720.5285644,828.7383422,1440.107544,717.7303467,1039.728271,659.6572876,1303.687622,1659660194338336.8,0.1553373193900914,1.31666675
81.0,652.7807618,1720.5285644,828.7383422,1440.107544,717.9105835,1039.945068,659.9837646,1303.944824,1659660194355003.2,0.155514418181253,1.33333325
82.0,652.7807618,1720.5285644,828.7383422,1440.107544,718.1204224,1040.088135,660.019104,1304.041382,1659660194371670.0,0.1556892823129567,1.35
83.0,652.795105,1720.3425292,829.1224366,1439.5578614,718.1283569,1040.275391,660.0930176,1304.130615,1659660194388336.8,0.1560428376930287,1.36666675
84.0,653.0,1720.0,828.864441,1440.0219726,718.2040405,1040.335327,660.1453247,1304.244629,1659660194405003.5,0.1417475891419774,1.3833335
85.0,653.2351074,1720.659668,829.1428834,1440.555542,718.4418335,1040.517456,660.1453247,1304.244629,1659660194421670.2,0.1170379998555983,1.40000025
86.0,653.2351074,1720.659668,829.1428834,1440.555542,718.4418335,1040.517456,660.0302734,1304.451416,1659660194438336.8,0.1170379998555983,1.41666675
87.0,653.2351074,1720.659668,829.1428834,1440.555542,718.3239136,1040.608276,660.1714478,1304.367432,1659660194455003.5,0.1169844281782018,1.4333335
88.0,653.3692016,1720.5877686,829.1428834,1440.555542,718.3239136,1040.608276,660.2439575,1304.513184,1659660194471670.2,0.1063624772385457,1.45000025
89.0,653.2351074,1720.659668,829.1428834,1440.555542,718.2357788,1041.042725,660.1868286,1304.548828,1659660194488336.8,0.1170291429200982,1.46666675
