Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters,angular velocity
52.0,158.7903595,822.7356567,858.5,945.7000122,419.5242004,795.4354858,603.9030762,890.1323853,1658971693226669.8,0.2328541449507148,0.84999975,0.1832030674337841,0.9904872933542525,0.4840225856153791,0.6967481926542165,-0.949224477286915,-1.0910935881293669,-0.9177271303063096,-1.0269828969630304,0.00012684703003018605
53.0,158.8589783,822.8051147,858.7116699,946.0219116,419.3601074,795.1654663,603.5827026,890.1382446,1658971693243336.5,0.2036730112948332,0.8666665,0.1832822358082573,0.990731505755342,0.4838332646702092,0.6963785642559331,-0.9493046138814656,-1.091464976906814,-0.9174155975355376,-1.026989657082073,-0.029181133655881597
54.0,158.5487823,822.8550415,858.8012085,946.2000122,419.3601074,795.1654663,603.4436646,889.9718018,1658971693260003.2,0.1864882061117894,0.88333325,0.1829243497320205,0.9908348101765008,0.4838332646702092,0.6962181503103382,-0.9493622165151264,-1.091670459004937,-0.9174155975355376,-1.026797625074536,-0.0171848051830438
55.0,158.5487823,822.8550415,858.5749512,946.675293,419.2731934,795.0726929,603.5827026,890.1382446,1658971693276670.0,0.1219764522802945,0.9,0.1829243497320205,0.9905737676829904,0.4837329883596506,0.6963785642559331,-0.9493622165151264,-1.0922188103074129,-0.9173085609905623,-1.026989657082073,-0.0645117538314949
56.0,158.5614777,822.8087158,858.5,947.0330811,419.3601074,795.1654663,603.644104,890.1102905,1658971693293336.8,0.0772701867925094,0.91666675,0.1829389969450479,0.9904872933542525,0.4838332646702092,0.6964494056146917,-0.9493087686208856,-1.092631605376444,-0.9174155975355376,-1.0269574052697872,-0.0447062654877851
57.0,158.5487823,822.8550415,858.2243652,947.2794189,419.4927673,794.5893555,603.5,890.2963257,1658971693310003.2,0.0375700879033941,0.93333325,0.1829243497320205,0.990169281977425,0.4839863199355413,0.6962831468133853,-0.9493622165151264,-1.0929158155811882,-0.9167509144522944,-1.027172041847209,-0.0397000988891153
58.0,158.5487823,822.8550415,858.2032471,947.2625122,419.4927673,794.5893555,603.2987671,890.1382446,1658971693326670.0,0.0386834038661425,0.95,0.1829243497320205,0.9901449171437504,0.4839863199355413,0.6960509760149522,-0.9493622165151264,-1.0928963096155242,-0.9167509144522944,-1.026989657082073,0.0011133159627484054
59.0,158.5487823,822.8550415,858.3058472,947.6306763,419.4927673,794.5893555,603.2987671,890.1382446,1658971693343336.5,2.7360748050586388e-05,0.9666665,0.1829243497320205,0.9902632911627915,0.4839863199355413,0.6960509760149522,-0.9493622165151264,-1.093321075908965,-0.9167509144522944,-1.026989657082073,-0.03865604311809192
60.0,158.5487823,822.8550415,858.4130249,947.5325928,419.5704346,794.6901245,603.2987671,890.1382446,1658971693360003.2,-0.0157222817098591,0.98333325,0.1829243497320205,0.9903869465500728,0.4840759279422497,0.6960509760149522,-0.9493622165151264,-1.0932079128799173,-0.9168671758548153,-1.026989657082073,-0.015749642457909687
61.0,158.5487823,822.8550415,858.3892822,947.8970947,419.3640747,794.6856079,603.4375,890.322937,1658971693376670.0,0.0276820564159845,1.0,0.1829243497320205,0.990359553605798,0.4838378419098585,0.696211037953939,-0.9493622165151264,-1.0936284539403174,-0.916861964864822,-1.027202744415071,0.0434043381258436
