Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),Seconds
94.0,301.0,877.5,286.6560974,883.7196045,582.609375,1037.367188,1660786905550000.0,1.55
95.0,301.0,877.5,286.6560974,883.7196045,582.8157349,1037.344116,1660786905566666.5,1.5666665
96.0,301.0,877.5,286.6560974,883.7196045,583.1577148,1037.5,1660786905583333.2,1.58333325
97.0,301.0,877.5,286.6560974,883.7196045,583.4196167,1037.901733,1660786905600000.0,1.6
98.0,301.0,877.5,286.6560974,883.7196045,583.0,1037.969727,1660786905616666.5,1.6166665
99.0,301.0,877.5,286.6560974,883.7196045,583.0266724,1038.330688,1660786905633333.5,1.6333335
100.0,301.0,877.5,286.6560974,883.7196045,583.1065674,1038.59021,1660786905650000.0,1.65
101.0,301.0,877.5,286.6560974,883.7196045,582.6206665,1038.525879,1660786905666666.8,1.66666675
102.0,301.0,877.5,286.6560974,883.7196045,583.288208,1038.791992,1660786905683333.5,1.6833335
103.0,301.0,877.5,286.6560974,883.7196045,583.5645142,1038.47583,1660786905700000.0,1.7
104.0,301.0,877.5,286.6560974,883.7196045,583.6558228,1038.184326,1660786905716666.8,1.71666675
105.0,301.0,877.5,286.6560974,883.7196045,583.6558228,1038.184326,1660786905733333.2,1.73333325
106.0,301.0,877.5,286.6560974,883.7196045,583.6558228,1038.184326,1660786905750000.0,1.75
107.0,301.0,877.5,286.6560974,883.7196045,583.9832153,1037.717041,1660786905766666.8,1.76666675
108.0,301.0,877.5,286.6560974,883.7196045,583.9832153,1037.717041,1660786905783333.2,1.78333325
109.0,301.0,877.5,286.6560974,883.7196045,583.9043579,1037.820313,1660786905800000.0,1.8
110.0,301.0,877.5,286.6560974,883.7196045,583.8364258,1037.5,1660786905816666.5,1.8166665
111.0,301.0,877.5,286.6560974,883.7196045,583.9468994,1037.356934,1660786905833333.2,1.83333325
112.0,301.0,878.5,282.0,900.0,584.3439331,1037.5,1660786905850000.0,1.85
113.0,302.1228027,878.4736938,282.0,900.0,584.2877197,1037.190918,1660786905866666.5,1.8666665
114.0,302.1228027,878.4736938,282.0,900.0,584.2877197,1037.190918,1660786905883333.5,1.8833335
115.0,298.0,878.0,282.0,900.0,584.2877197,1037.190918,1660786905900000.0,1.9
116.0,299.521698,878.5533447,314.5718384,914.6235352,584.8562622,1036.791992,1660786905916666.8,1.91666675
117.0,299.521698,878.5533447,314.5718384,914.6235352,584.8046265,1036.663818,1660786905933333.5,1.9333335
118.0,299.521698,878.5533447,314.5718384,914.6235352,584.8046265,1036.663818,1660786905950000.0,1.95
119.0,299.521698,878.5533447,314.5718384,914.6235352,585.2678223,1036.638184,1660786905966666.8,1.96666675
120.0,299.521698,878.5533447,314.5718384,914.6235352,585.5,1036.5,1660786905983333.2,1.98333325
121.0,299.521698,878.5533447,314.5718384,914.6235352,585.6398926,1036.214111,1660786906000000.0,2.0
122.0,299.521698,878.5533447,314.5718384,914.6235352,585.5,1036.0,1660786906016666.8,2.01666675
123.0,299.521698,878.5533447,314.5718384,914.6235352,585.5,1036.0,1660786906033333.2,2.03333325
124.0,299.521698,878.5533447,314.5718384,914.6235352,585.5,1036.0,1660786906050000.0,2.05
125.0,303.5,878.0,290.2947998,881.7712402,585.5,1036.0,1660786906066666.5,2.0666665
126.0,303.5,878.0,290.2947998,881.7712402,585.5,1036.0,1660786906083333.2,2.08333325
127.0,303.0,878.0,315.0952454,915.1071167,585.5078125,1035.929688,1660786906100000.0,2.1
128.0,299.3511658,877.947876,316.0434875,914.6738892,585.649353,1036.150635,1660786906116666.5,2.1166665
129.0,303.0,878.0,316.0,914.8070068,585.5865479,1035.935425,1660786906133333.5,2.1333335
130.0,302.9712219,879.2322388,287.8541565,883.53125,585.619751,1036.138306,1660786906150000.0,2.15
131.0,294.2533264,878.5599976,301.1418457,887.75177,585.776062,1036.322876,1660786906166666.8,2.16666675
132.0,294.2533264,878.5599976,301.1418457,887.75177,585.9153442,1036.365112,1660786906183333.5,2.1833335
133.0,294.2533264,878.5599976,301.1418457,887.75177,585.5625,1036.322876,1660786906200000.0,2.2
134.0,294.2533264,878.5599976,301.1418457,887.75177,585.5625,1036.322876,1660786906216666.8,2.21666675
135.0,294.2533264,878.5599976,301.1418457,887.75177,585.5645142,1036.47583,1660786906233333.2,2.23333325
136.0,294.2533264,878.5599976,301.1418457,887.75177,585.8736572,1036.838745,1660786906250000.0,2.25
137.0,294.2533264,878.5599976,301.1418457,887.75177,585.8736572,1036.838745,1660786906266666.8,2.26666675
138.0,295.2530823,880.2129517,317.0,912.0,586.0598145,1036.71228,1660786906283333.2,2.28333325
139.0,295.2530823,880.2129517,317.0,912.0,586.0598145,1036.71228,1660786906300000.0,2.3
140.0,295.2530823,880.2129517,317.0,912.0,586.0598145,1036.71228,1660786906316666.5,2.3166665
141.0,295.2530823,880.2129517,317.0,912.0,586.0598145,1036.71228,1660786906333333.2,2.33333325
142.0,295.2530823,880.2129517,317.0,912.0,585.8736572,1036.838745,1660786906350000.0,2.35
143.0,295.2530823,880.2129517,317.0,912.0,585.8736572,1036.838745,1660786906366666.5,2.3666665
144.0,295.2530823,880.2129517,317.0,912.0,585.7404175,1037.179932,1660786906383333.5,2.3833335
145.0,295.2530823,880.2129517,317.0,912.0,585.7404175,1037.179932,1660786906400000.0,2.4
146.0,295.2530823,880.2129517,317.0,912.0,585.6723633,1037.267822,1660786906416666.8,2.41666675
147.0,295.2530823,880.2129517,317.0,912.0,585.6723633,1037.267822,1660786906433333.5,2.4333335
148.0,295.2530823,880.2129517,317.0,912.0,585.6958008,1037.608398,1660786906450000.0,2.45
149.0,295.2530823,880.2129517,317.0,912.0,585.5,1037.842285,1660786906466666.8,2.46666675
150.0,295.2530823,880.2129517,317.0,912.0,585.5,1037.842285,1660786906483333.2,2.48333325
151.0,295.2530823,880.2129517,317.0,912.0,585.776062,1038.322876,1660786906500000.0,2.5
152.0,295.2530823,880.2129517,317.0,912.0,585.6825562,1037.682495,1660786906516666.8,2.51666675
153.0,295.2530823,880.2129517,317.0,912.0,585.6825562,1037.682495,1660786906533333.2,2.53333325
154.0,295.2530823,880.2129517,317.0,912.0,585.7920532,1038.065552,1660786906550000.0,2.55
155.0,295.2530823,880.2129517,317.0,912.0,585.666687,1038.112915,1660786906566666.5,2.5666665
156.0,295.2530823,880.2129517,317.0,912.0,585.8619995,1038.390625,1660786906583333.2,2.58333325
157.0,295.2530823,880.2129517,317.0,912.0,585.5625,1038.322876,1660786906600000.0,2.6
158.0,295.2530823,880.2129517,317.0,912.0,585.5,1038.857178,1660786906616666.5,2.6166665
159.0,295.2530823,880.2129517,317.0,912.0,585.5,1038.857178,1660786906633333.5,2.6333335
160.0,295.2530823,880.2129517,317.0,912.0,585.666687,1039.194214,1660786906650000.0,2.65
161.0,295.2530823,880.2129517,317.0,912.0,585.3389282,1038.661011,1660786906666666.8,2.66666675
162.0,295.2530823,880.2129517,317.0,912.0,585.5,1039.0,1660786906683333.5,2.6833335
163.0,295.2530823,880.2129517,317.0,912.0,585.5,1039.0,1660786906700000.0,2.7
164.0,295.2530823,880.2129517,317.0,912.0,585.5,1039.0,1660786906716666.8,2.71666675
165.0,295.2530823,880.2129517,317.0,912.0,585.3276367,1038.732178,1660786906733333.2,2.73333325
166.0,295.2530823,880.2129517,317.0,912.0,585.3102417,1039.155151,1660786906750000.0,2.75
