Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds,Shoulder Pink X meters,Hand Pink X meters,Elbow X meters,Shoulder Pink Y meters,Hand Pink Y meters,Elbow Y meters
29.0,284.3900757,1037.549683,734.6856079,1223.304932,462.256897,1207.184692,1658965714466666.8,139.74337560263444,0.46666675,0.2720020697979443,0.7026827694591065,0.4421210284954228,-0.9923541129188601,-1.1700178801212417,-1.1545998363134649
30.0,284.1304932,1037.41394,734.7495728,1223.16748,462.5,1208.223389,1658965714483333.2,139.3821925406523,0.48333325,0.271753794688099,0.7027439480538643,0.4423535419507933,-0.9922242828716276,-1.1698864155178943,-1.1555932877663593
31.0,283.4432678,1037.871338,734.7495728,1223.16748,462.5,1208.223389,1658965714500000.0,139.56896962842228,0.5,0.2710965047641886,0.7027439480538643,0.4423535419507933,-0.9926617566562356,-1.1698864155178943,-1.1555932877663593
32.0,283.5097351,1038.584473,734.9091187,1222.96167,462.5,1208.5,1658965714516666.8,139.5287465008558,0.51666675,0.2711600767546295,0.7028965441489319,0.4423535419507933,-0.99334382756032,-1.1696895705828263,-1.155857849616289
33.0,283.4849548,1038.759277,734.9507446,1222.853882,462.641449,1208.358521,1658965714533333.2,139.6167815874753,0.53333325,0.27113637588224987,0.7029363568285035,0.44248882944518336,-0.9935110171139357,-1.1695864778183298,-1.1557225334286965
34.0,283.4492188,1038.882935,735.1280518,1222.352173,462.641449,1208.358521,1658965714550000.0,139.53616423701652,0.55,0.2711021965391684,0.703105940542954,0.44248882944518336,-0.9936292885826721,-1.1691066232168623,-1.1557225334286965
35.0,283.1987915,1039.174561,735.2297363,1222.713745,462.5,1208.5,1658965714566666.5,139.6224033413882,0.5666665,0.2708626778296416,0.7032031956753573,0.4423535419507933,-0.9939082113805637,-1.1694524451733386,-1.155857849616289
36.0,283.0328369,1039.195923,735.2297363,1222.713745,462.5,1208.5,1658965714583333.2,139.6524707510463,0.58333325,0.27070395219696475,0.7032031956753573,0.4423535419507933,-0.9939286428537814,-1.1694524451733386,-1.155857849616289
37.0,282.5463562,1039.483398,735.3867188,1222.813965,462.5,1208.5,1658965714600000.0,139.79774740963924,0.6,0.2702386625521308,0.7033533400318963,0.4423535419507933,-0.9942035954688566,-1.169548299599229,-1.155857849616289
38.0,282.5300903,1039.510376,735.3867188,1222.813965,462.5,1208.5,1658965714616666.5,139.80489571331836,0.6166665,0.27022310519325937,0.7033533400318963,0.4423535419507933,-0.9942293983096235,-1.169548299599229,-1.155857849616289
