Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
68.0,369.625,1236.53125,464.3928528,1694.273804,413.3603516,1068.639648,514.7401733,1242.5,532.0,1017.0,1660879943116666.5,-0.681045914247724,1.1166665
69.0,369.625,1236.53125,464.8101807,1694.5,413.3603516,1068.639648,515.0,1242.5,532.0,1017.0,1660879943133333.5,-0.680291951147883,1.1333335
70.0,369.6913452,1236.864258,465.5,1694.5,413.2113953,1068.788574,515.0,1242.5,532.0,1017.0,1660879943150000.0,-0.680291951147883,1.15
71.0,369.6913452,1236.864258,465.5,1694.5,413.5,1069.246948,515.0,1242.5,532.0,1017.0,1660879943166666.8,-0.680291951147883,1.16666675
72.0,369.5,1237.0,465.7011414,1694.5,413.618042,1069.479126,515.2943726,1242.735962,532.0,1017.0,1660879943183333.5,-0.678683017868844,1.1833335
73.0,369.5,1237.5,466.0,1694.5,413.2839355,1070.283936,515.5,1242.82019,529.5,1017.0,1660879943200000.0,0.04639492678560024,1.2
74.0,369.5,1237.0,466.0,1694.5,413.2564087,1070.390991,515.3966064,1242.911377,529.5,1017.0,1660879943216666.8,0.04669761706399383,1.21666675
75.0,369.5,1237.5,466.0,1694.623169,413.3544922,1070.677246,515.3966064,1242.911377,529.5,1017.0,1660879943233333.2,0.04669761706399383,1.23333325
76.0,369.5,1237.0,466.2839355,1694.716064,413.1468811,1070.689209,515.3966064,1242.911377,529.5,1017.0,1660879943250000.0,0.04669761706399383,1.25
77.0,369.5,1236.5,466.1699219,1694.169922,413.0,1070.5,515.3966064,1242.911377,529.5,1017.0,1660879943266666.8,0.04669761706399383,1.26666675
78.0,369.5,1236.5,466.7160645,1694.283936,412.8639526,1070.489746,515.4130249,1243.318848,529.5,1017.0,1660879943283333.2,0.046477595508381576,1.28333325
79.0,370.0,1237.0,466.8364868,1694.289307,412.75177,1070.46814,515.666687,1243.5,529.5,1017.0,1660879943300000.0,0.0455746423407599,1.3
80.0,370.0,1237.0,466.8364868,1694.289307,412.8364868,1070.710693,515.666687,1243.5,529.5,1017.0,1660879943316666.5,0.0455746423407599,1.3166665
81.0,371.5,1237.5,466.8364868,1694.289307,412.8364868,1070.710693,515.8156738,1243.815674,529.5,1017.0,1660879943333333.2,0.044963189456010313,1.33333325
82.0,371.0,1237.5,466.8364868,1694.289307,413.0818787,1070.795288,515.8156738,1243.815674,529.5,1017.0,1660879943350000.0,0.044963189456010313,1.35
83.0,370.46875,1237.625,466.7261963,1694.392822,413.7212219,1070.721191,516.0,1244.0,529.5,1017.0,1660879943366666.5,0.04429049350115451,1.3666665
84.0,369.5,1237.5,467.2238159,1694.414307,413.6071472,1070.964233,515.9222412,1244.022217,529.5,1017.0,1660879943383333.5,0.0445351819651586,1.3833335
85.0,369.0,1237.5,467.4571533,1694.266724,413.6071472,1070.964233,515.916687,1244.269897,529.5,1017.0,1660879943400000.0,0.044457186338678664,1.4
86.0,368.0,1237.5,467.4571533,1694.266724,413.620697,1070.850586,515.6821899,1244.5,529.5,1017.0,1660879943416666.8,0.045128642750350334,1.41666675
87.0,367.5,1237.5,467.5,1694.189819,413.5978699,1071.0,515.6821899,1244.5,529.5,1017.0,1660879943433333.5,0.045128642750350334,1.4333335
88.0,367.5,1237.5,467.5,1694.189819,413.1092834,1071.366089,515.5908813,1244.511353,529.5,1017.0,1660879943450000.0,0.04542018196226909,1.45
89.0,368.5,1237.5,467.3333435,1694.333374,412.969696,1071.207031,515.6279297,1244.581421,529.5,1017.0,1660879943466666.8,0.045272479231312314,1.46666675
90.0,368.5,1237.5,467.3333435,1694.333374,413.1130066,1070.886963,515.5,1244.5,529.5,1017.0,1660879943483333.2,0.045719267771291934,1.48333325
91.0,369.0,1237.5,467.3333435,1694.333374,413.3910217,1071.0,515.5,1244.5,529.5,1017.0,1660879943500000.0,0.045719267771291934,1.5
92.0,369.5,1238.0,467.7210999,1693.863892,413.8364868,1070.710693,515.269104,1244.353394,529.5,1017.0,1660879943516666.8,0.04652686849659775,1.51666675
93.0,369.5,1237.5,467.7210999,1693.863892,413.8692932,1070.601318,515.269104,1244.353394,529.5,1017.0,1660879943533333.2,0.04652686849659775,1.53333325
94.0,369.5,1237.5,467.7210999,1693.863892,414.0,1070.5,515.269104,1244.353394,529.5,1017.0,1660879943550000.0,0.04652686849659775,1.55
95.0,369.5,1237.5,467.7210999,1693.863892,414.2787781,1070.278809,515.269104,1244.353394,529.5,1017.0,1660879943566666.5,0.04652686849659775,1.5666665
96.0,369.5,1237.5,467.2113953,1694.211426,414.2787781,1070.278809,515.269104,1244.353394,529.5,1017.0,1660879943583333.2,0.04652686849659775,1.58333325
97.0,369.5,1237.5,467.0,1694.5,414.4833374,1070.400024,515.3720703,1244.418579,529.5,1017.0,1660879943600000.0,0.0461665889430513,1.6
98.0,369.5,1237.5,467.1087036,1694.478271,414.8300781,1070.601318,515.269104,1244.353394,529.5,1017.0,1660879943616666.5,0.04652686849659775,1.6166665
99.0,369.5,1237.5,467.2679749,1694.261475,415.0,1070.390991,515.722229,1244.428589,529.5,1017.0,1660879943633333.5,0.04502679844274926,1.6333335
100.0,369.5,1237.5,467.1087036,1694.478271,415.0,1070.390991,515.8776245,1244.43457,529.5,1017.0,1660879943650000.0,0.04452024049938181,1.65
101.0,369.6666565,1237.0,467.3418884,1694.222168,415.0,1070.390991,515.8776245,1244.43457,529.5,1017.0,1660879943666666.8,0.04452024049938181,1.66666675
102.0,369.6913452,1236.864258,467.1087036,1694.478271,415.0818787,1070.590698,515.8776245,1244.43457,529.5,1017.0,1660879943683333.5,0.04452024049938181,1.6833335
103.0,369.7698364,1236.634888,466.8364868,1694.289307,415.1418457,1070.390015,516.0,1244.5,529.5,1017.0,1660879943700000.0,0.044097957312590946,1.7
104.0,369.7698364,1236.634888,466.620697,1694.379272,416.3262329,1069.716309,516.1898193,1244.5,529.5,1017.0,1660879943716666.8,0.04348211514204676,1.71666675
105.0,370.0,1236.5,466.620697,1694.379272,415.9006958,1069.815552,516.5,1244.259766,529.5,1017.0,1660879943733333.2,0.042564370651499865,1.73333325
106.0,370.0,1236.5,466.5,1694.5,416.1234436,1069.586426,516.5,1244.259766,529.5,1017.0,1660879943750000.0,0.042564370651499865,1.75
107.0,370.0,1236.5,466.5,1694.5,416.2720947,1069.374146,516.5,1244.0,529.5,1017.0,1660879943766666.8,0.04266089440536576,1.76666675
108.0,370.1190491,1236.476196,466.5,1694.5,416.384613,1069.480713,516.5,1244.0,529.5,1017.0,1660879943783333.2,0.04266089440536576,1.78333325
109.0,370.6231995,1236.0,466.5,1694.5,416.3928528,1069.035767,516.5,1244.0,529.5,1017.0,1660879943800000.0,0.04266089440536576,1.8
110.0,370.6231995,1236.0,466.5,1694.5,416.3928528,1069.035767,516.5,1244.0,529.5,1017.0,1660879943816666.5,0.04266089440536576,1.8166665
111.0,370.5,1235.758301,466.5,1694.5,416.5,1069.0,516.5,1244.0,529.5,1017.0,1660879943833333.2,0.04266089440536576,1.83333325
112.0,370.5,1235.780273,466.5,1694.5,416.5166626,1068.888916,516.5,1244.0,529.5,1017.0,1660879943850000.0,0.04266089440536576,1.85
113.0,370.5,1235.780273,466.5,1694.5,416.7106934,1068.836426,516.5,1244.0,529.5,1017.0,1660879943866666.5,0.04266089440536576,1.8666665
114.0,370.5,1235.780273,466.5,1694.5,416.5166626,1068.888916,516.3533936,1243.730957,529.5,1017.0,1660879943883333.5,0.04324027532001319,1.8833335
115.0,370.5,1235.780273,466.5,1694.5,416.7212219,1068.721191,516.4345703,1243.877686,529.5,1017.0,1660879943900000.0,0.04292000225562632,1.9
116.0,370.5,1235.780273,466.5,1694.5,416.7212219,1068.721191,516.4345703,1243.877686,529.5,1017.0,1660879943916666.8,0.04292000225562632,1.91666675
117.0,370.5,1235.780273,466.5,1694.5,416.7212219,1068.721191,516.3533936,1243.730957,529.5,1017.0,1660879943933333.5,0.04324027532001319,1.9333335
118.0,370.5,1235.780273,466.5,1694.5,416.5,1068.5,516.5,1243.5,529.5,1017.0,1660879943950000.0,0.042847609755269835,1.95
119.0,370.5,1235.780273,466.5,1694.5,416.5,1068.5,516.3533936,1243.730957,529.5,1017.0,1660879943966666.8,0.04324027532001319,1.96666675
120.0,370.5,1235.780273,466.5,1694.5,416.5,1068.5,516.3533936,1243.730957,529.5,1017.0,1660879943983333.2,0.04324027532001319,1.98333325
121.0,370.5,1235.780273,466.5,1694.5,416.2787781,1068.278809,516.5,1243.5,529.5,1017.0,1660879944000000.0,0.042847609755269835,2.0
122.0,370.5,1235.780273,466.5,1694.5,416.2787781,1068.278809,516.5,1243.5,529.5,1017.0,1660879944016666.8,0.042847609755269835,2.01666675
123.0,370.5,1235.780273,466.5,1694.5,416.0,1068.4021,516.1346436,1243.5,529.5,1017.0,1660879944033333.2,0.044043677724205026,2.03333325
124.0,370.5,1235.780273,466.5,1694.5,416.0,1068.4021,515.8449097,1243.310181,529.5,1017.0,1660879944050000.0,0.045066445481036256,2.05
125.0,370.5,1235.780273,466.5,1694.5,416.0,1068.4021,515.666687,1243.5,529.5,1017.0,1660879944066666.5,0.0455746423407599,2.0666665
126.0,370.5,1235.780273,466.5,1694.5,415.8907166,1068.415283,515.5,1243.5,533.5,1017.0,1660879944083333.2,-1.0529161016056172,2.08333325
127.0,370.5,1235.780273,466.5,1694.5,415.5,1068.5,515.5,1243.5,541.5,1016.0,1660879944100000.0,-3.0289602017952304,2.1
128.0,370.5,1235.780273,466.5,1694.5,415.3743591,1068.579468,515.5,1243.5,541.5,1016.0,1660879944116666.5,-3.0289602017952304,2.1166665
129.0,370.5,1235.780273,466.5,1694.5,415.3128357,1068.76416,515.3174438,1243.317505,541.5,1016.0,1660879944133333.5,-3.0313526904697783,2.1333335
130.0,370.5,1235.780273,466.5,1694.5,415.3128357,1068.76416,514.9811401,1243.424561,541.5,1016.0,1660879944150000.0,-3.029877602333843,2.15
131.0,370.5,1235.780273,466.5,1694.5,415.185791,1068.666626,514.5,1243.5,541.5,1016.0,1660879944166666.8,-3.0287761424080952,2.16666675
132.0,370.5,1235.780273,466.5,1694.5,414.6338806,1068.223999,514.5,1243.5,541.5,1016.0,1660879944183333.5,-3.0287761424080952,2.1833335
133.0,370.5,1235.780273,466.5,1694.5,414.1547546,1068.089233,514.5,1243.5,541.5,1016.0,1660879944200000.0,-3.0287761424080952,2.2
134.0,370.5,1235.780273,466.5,1694.5,414.0,1068.4021,513.7457275,1243.415771,541.5,1016.0,1660879944216666.8,-3.029675170311315,2.21666675
135.0,370.5,1235.780273,466.5,1694.5,414.0,1068.4021,513.666687,1243.5,541.5,1016.0,1660879944233333.2,-3.028535268772038,2.23333325
136.0,366.5,1234.0,464.5,1694.5,413.7729492,1068.32373,513.666687,1243.5,541.5,1016.0,1660879944250000.0,-3.028535268772038,2.25
137.0,366.5,1234.0,464.5,1694.5,413.5,1068.5,513.666687,1243.5,541.5,1016.0,1660879944266666.8,-3.028535268772038,2.26666675
138.0,366.5,1234.0,464.5,1694.5,413.5,1068.5,513.5,1243.5,541.5,1016.0,1660879944283333.2,-3.02847755767644,2.28333325
139.0,366.5,1234.0,464.5,1694.5,413.3743591,1068.579468,513.5,1243.5,541.5,1016.0,1660879944300000.0,-3.02847755767644,2.3
140.0,366.5,1234.0,464.5,1694.5,413.3544922,1068.677246,513.5,1243.5,541.5,1016.0,1660879944316666.5,-3.02847755767644,2.3166665
141.0,366.5,1234.0,464.5,1694.5,413.1468811,1068.689209,513.3174438,1243.682495,541.5,1016.0,1660879944333333.2,-3.0260017066050415,2.33333325
142.0,366.5,1234.0,464.5,1694.5,413.3743591,1068.579468,513.5,1243.5,541.5,1016.0,1660879944350000.0,-3.02847755767644,2.35
143.0,366.5,1234.0,464.5,1694.5,413.3743591,1068.579468,513.5,1243.5,541.5,1016.0,1660879944366666.5,-3.02847755767644,2.3666665
144.0,366.5,1234.0,464.5,1694.5,413.6666565,1068.333374,513.666687,1243.5,541.5,1016.0,1660879944383333.5,-3.028535268772038,2.3833335
145.0,366.5,1234.0,464.5,1694.5,414.033905,1068.197754,513.666687,1243.5,541.5,1016.0,1660879944400000.0,-3.028535268772038,2.4
146.0,366.5,1234.0,464.5,1694.5,414.0,1068.4021,513.9298096,1243.898193,541.5,1016.0,1660879944416666.8,-3.0233651113467084,2.41666675
147.0,366.5,1234.0,464.5,1694.5,415.1397705,1068.295654,514.4345703,1243.877686,541.5,1016.0,1660879944433333.5,-3.0237730013495265,2.4333335
148.0,366.5,1234.0,464.5,1694.5,415.3743591,1068.579468,514.5,1244.0,541.5,1016.0,1660879944450000.0,-3.0221770363706666,2.45
149.0,366.5,1234.0,464.5,1694.5,415.7960205,1068.407959,515.7056274,1244.090942,541.5,1016.0,1660879944466666.8,-3.02117919488202,2.46666675
150.0,366.5,1234.0,464.5,1694.5,416.7530823,1068.5,516.5,1244.259766,541.5,1016.0,1660879944483333.2,-3.0189963213538222,2.48333325
151.0,366.5,1234.0,464.5,1694.5,417.5,1068.5,517.4121704,1243.777832,541.5,1016.0,1660879944500000.0,-3.025313387859762,2.5
152.0,366.5,1234.0,464.5,1694.5,418.379303,1068.379272,518.3621216,1243.831299,541.5,1016.0,1660879944516666.8,-3.024463336511086,2.51666675
153.0,366.5,1234.0,464.5,1694.5,419.5,1068.5,519.3174438,1243.682495,541.5,1016.0,1660879944533333.2,-3.026185053177787,2.53333325
154.0,366.5,1234.0,464.5,1694.5,420.5,1068.5,520.5,1244.0,541.5,1016.0,1660879944550000.0,-3.0215299003814526,2.55
155.0,375.0,1233.5,469.5,1694.5,421.7960205,1068.407959,521.6740723,1243.674072,541.5,1016.0,1660879944566666.5,-3.0252350178936127,2.5666665
156.0,375.0,1233.5,469.5,1694.5,423.3128357,1068.76416,522.5,1244.0,541.5,1016.0,1660879944583333.2,-3.0203952064203854,2.58333325
157.0,375.0,1233.5,469.5,1694.5,424.7261963,1068.607178,524.5,1244.0,541.5,1016.0,1660879944600000.0,-3.0187990823845405,2.6
