Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
81.0,449.7290039,1254.254761,454.27005,1645.020386,306.818512,980.0333252,346.2944031,1252.720215,1660000936210003.2,0.6669812792895556,1.33333325
82.0,449.7290039,1254.254761,454.27005,1645.020386,306.818512,980.0333252,346.4085083,1252.696777,1660000936226669.8,0.6669812792895556,1.34999975
83.0,449.7290039,1254.254761,454.27005,1645.020386,306.5833435,980.0722046,346.1607666,1252.685547,1660000936243336.5,0.6670620620396275,1.3666665
84.0,449.7290039,1254.254761,454.27005,1645.020386,306.706665,980.1409302,346.1607666,1252.685547,1660000936260003.2,0.6671129186945916,1.38333325
85.0,449.7290039,1254.254761,454.27005,1645.020386,306.5372314,980.4627686,345.9846191,1252.917969,1660000936276670.0,0.6674785668039149,1.4
86.0,449.7290039,1254.254761,454.27005,1645.020386,306.6265259,980.6265259,345.9846191,1252.917969,1660000936293336.8,0.6676348584261814,1.41666675
87.0,449.7290039,1254.254761,454.27005,1645.020386,306.6593933,980.6593628,345.9846191,1252.917969,1660000936310003.2,0.667663657168691,1.43333325
88.0,449.7290039,1254.254761,454.27005,1645.020386,306.5691528,980.5691528,345.8081665,1253.086304,1660000936326670.0,0.6675845327975057,1.45
89.0,467.5,1322.5,461.2681274,1644.213745,306.6593933,980.6593628,345.8081665,1253.086304,1660000936343336.5,0.078451773307497,1.4666665
90.0,467.5,1322.5,461.4347229,1644.048218,306.5691528,980.5691528,345.8972473,1253.317383,1660000936360003.2,0.0616681396917125,1.48333325
91.0,467.5,1322.5,461.263031,1643.894531,306.5645447,981.0558472,345.8972473,1253.317383,1660000936376670.0,0.072897382878589,1.5
92.0,467.5,1322.5,461.263031,1643.894531,306.5645447,981.0558472,345.8972473,1253.317383,1660000936393336.5,0.072897382878589,1.5166665
93.0,467.5,1319.5,461.6626892,1644.460327,306.7600708,981.0219727,346.785553,1253.354614,1660000936410003.2,0.0508757384047378,1.53333325
94.0,467.5,1319.5,460.5673218,1644.584961,306.9501953,981.1091919,347.1666565,1253.71875,1660000936426669.8,0.1429247256314419,1.54999975
95.0,467.5,1319.5,460.5673218,1644.584961,307.1376038,981.0523071,347.2767029,1253.943359,1660000936443336.5,0.1428204083933817,1.5666665
96.0,467.5,1319.5,460.5673218,1644.584961,307.3155823,981.1104736,347.3640747,1254.314453,1660000936460003.2,0.1427575012929603,1.58333325
97.0,467.5,1319.5,460.5673218,1644.584961,307.1557007,981.5526123,347.5692444,1254.06665,1660000936476669.8,0.1429736728161142,1.59999975
98.0,467.5,1319.5,460.5673218,1644.584961,307.3668823,981.4423218,347.5692444,1254.06665,1660000936493336.5,0.1428410295272653,1.6166665
99.0,467.5,1319.5,460.5673218,1644.584961,307.3579407,981.6085205,347.5692444,1254.06665,1660000936510003.2,0.1428988178143581,1.63333325
100.0,467.5,1319.5,460.5673218,1644.584961,307.5,981.5,347.5692444,1254.06665,1660000936526670.0,0.1427984740089154,1.65
101.0,467.5,1319.5,460.5673218,1644.584961,307.5,981.5,347.5692444,1254.06665,1660000936543336.8,0.1427984740089154,1.66666675
102.0,467.5,1319.5,460.5673218,1644.584961,307.5,981.5,347.7055969,1254.279785,1660000936560003.2,0.1427984740089154,1.68333325
103.0,467.5,1319.5,460.5673218,1644.584961,307.3579407,981.4384766,347.7055969,1254.279785,1660000936576670.0,0.1428438961575964,1.7
104.0,467.5,1319.5,460.5673218,1644.584961,307.3579407,981.6085205,347.8641052,1254.469238,1660000936593336.5,0.1428988178143581,1.7166665
105.0,467.5,1319.5,460.5673218,1644.584961,307.0866699,981.5733032,347.8641052,1254.469238,1660000936610003.2,0.143012066586777,1.73333325
106.0,467.5,1319.5,460.5673218,1644.584961,307.0866699,981.5733032,347.8641052,1254.469238,1660000936626670.0,0.143012066586777,1.75
107.0,467.5,1319.5,460.5673218,1644.584961,307.0866699,981.5733032,347.9301147,1254.29834,1660000936643336.5,0.143012066586777,1.7666665
108.0,467.5,1319.5,460.5673218,1644.584961,306.9275513,981.8840332,347.8641052,1254.469238,1660000936660003.2,0.1431857135145112,1.78333325
109.0,467.5,1319.5,460.5673218,1644.584961,306.8996277,982.0852051,348.1607666,1254.685547,1660000936676669.8,0.143263732956372,1.79999975
110.0,467.5,1319.5,460.5673218,1644.584961,306.7875366,982.1968994,348.1607666,1254.685547,1660000936693336.5,0.1433514714839264,1.8166665
111.0,467.5,1319.5,460.5673218,1644.584961,306.53125,982.7208252,348.1607666,1254.685547,1660000936710003.2,0.1436395164773611,1.83333325
112.0,467.5,1319.5,460.5673218,1644.584961,306.3762207,982.9317627,348.3641052,1255.0,1660000936726669.8,0.1437794868824243,1.84999975
113.0,467.5,1319.5,460.5673218,1644.584961,306.1868286,982.8556519,348.2459106,1255.434448,1660000936743336.5,0.1438417490745439,1.8666665
114.0,467.5,1319.5,460.5673218,1644.584961,305.5961609,983.2991333,348.125,1255.895874,1660000936760003.2,0.1442579242983677,1.88333325
115.0,467.5,1319.5,460.5673218,1644.584961,305.3579407,983.6085205,348.0387573,1256.028442,1660000936776670.0,0.1444686537259703,1.9
116.0,467.5,1319.5,460.5673218,1644.584961,305.4390259,984.0,348.4888916,1256.913574,1660000936793336.8,0.1445597854121612,1.91666675
117.0,467.5,1319.5,460.5673218,1644.584961,305.3145752,985.0374756,347.9382629,1257.14502,1660000936810003.2,0.1449583098274605,1.93333325
118.0,467.5,1319.5,460.5673218,1644.584961,305.0,985.0,348.1842957,1257.655884,1660000936826670.0,0.1450908556200434,1.95
119.0,467.5,1319.5,460.5673218,1644.584961,305.2914124,985.3563843,348.1369934,1257.970337,1660000936843336.5,0.1450741782492596,1.9666665
120.0,467.5,1319.5,460.5673218,1644.584961,305.5080566,985.4298706,348.0387573,1258.028442,1660000936860003.2,0.144998477701084,1.98333325
121.0,467.5,1319.5,460.5673218,1644.584961,305.5964966,985.1644897,348.4474792,1258.328735,1660000936876670.0,0.1448701729632233,2.0
122.0,467.5,1319.5,460.5673218,1644.584961,305.8457947,985.3696289,348.6666565,1258.60498,1660000936893336.5,0.1448226786135856,2.0166665
123.0,467.5,1319.5,460.5673218,1644.584961,306.3198547,985.0963135,348.8033447,1258.630737,1660000936910003.2,0.144513715167446,2.03333325
124.0,467.5,1319.5,460.5673218,1644.584961,306.7264099,985.1945801,349.1847229,1258.59021,1660000936926669.8,0.1443579568196151,2.04999975
125.0,467.5,1319.5,460.5673218,1644.584961,306.6816406,984.9494629,349.4549561,1258.560791,1660000936943336.5,0.1442982379413479,2.0666665
126.0,467.5,1319.5,460.5673218,1644.584961,307.191925,985.1494751,349.5,1258.5,1660000936960003.2,0.1441275932719692,2.08333325
127.0,467.5,1319.5,460.5673218,1644.584961,307.5660706,984.8895264,349.7055969,1258.279785,1660000936976669.8,0.143869115169541,2.09999975
128.0,467.5,1319.5,460.5673218,1644.584961,307.8190613,984.8190308,350.3970337,1258.428833,1660000936993336.5,0.1437287820567744,2.1166665
129.0,467.5,1319.5,460.5673218,1644.584961,308.2399292,983.9780273,350.3970337,1258.428833,1660000937010003.2,0.1432596775735506,2.13333325
130.0,467.5,1319.5,460.5673218,1644.584961,308.6119995,983.9012451,350.6000061,1257.86438,1660000937026670.0,0.1430622698629606,2.15
131.0,467.5,1319.5,460.5673218,1644.584961,308.8791199,984.0109863,350.9028625,1258.08606,1660000937043336.8,0.1429739439105596,2.16666675
132.0,467.5,1319.5,460.5673218,1644.584961,309.2067871,983.9483032,350.9028625,1258.08606,1660000937060003.2,0.1428014719671612,2.18333325
133.0,467.5,1319.5,460.5673218,1644.584961,309.9191284,983.7475586,351.1350708,1257.736328,1660000937076670.0,0.142405418443306,2.2
134.0,467.5,1319.5,460.5673218,1644.584961,310.2116089,983.8764038,351.3790283,1257.120972,1660000937093336.5,0.1423108784653808,2.2166665
135.0,467.5,1319.5,460.5673218,1644.584961,310.3333435,983.8190308,351.5,1257.5,1660000937110003.2,0.1422356743814261,2.23333325
136.0,467.5,1319.5,460.5673218,1644.584961,310.6889038,983.6807861,351.6954346,1256.666626,1660000937126670.0,0.1420254697092274,2.25
137.0,467.5,1319.5,460.5673218,1644.584961,310.6647034,983.8499146,351.6954346,1256.666626,1660000937143336.5,0.1420912168743963,2.2666665
138.0,467.5,1319.5,460.5673218,1644.584961,310.9606628,984.0617676,352.4200134,1256.640015,1660000937160003.2,0.142021388294027,2.28333325
139.0,467.5,1319.5,460.5673218,1644.584961,311.4390259,984.0,352.8392334,1256.314453,1660000937176669.8,0.1417780765312641,2.29999975
140.0,467.5,1319.5,460.5673218,1644.584961,311.8053894,983.8805542,353.1358948,1256.530762,1660000937193336.5,0.1415684361647977,2.3166665
141.0,467.5,1319.5,460.5673218,1644.584961,311.9289856,983.8422241,353.7290039,1256.254761,1660000937210003.2,0.1414983316842689,2.33333325
142.0,467.5,1319.5,460.5673218,1644.584961,312.1064148,983.7148438,353.7290039,1256.254761,1660000937226669.8,0.1413744995477397,2.34999975
143.0,467.5,1319.5,460.5673218,1644.584961,312.1617432,983.7770996,353.7920227,1256.065552,1660000937243336.5,0.1413685548916767,2.3666665
144.0,467.5,1319.5,460.5673218,1644.584961,312.3333435,983.8190308,353.861969,1255.984375,1660000937260003.2,0.1413016569730683,2.38333325
145.0,467.5,1319.5,460.5673218,1644.584961,312.3333435,983.8190308,353.861969,1255.984375,1660000937276670.0,0.1413016569730683,2.4
146.0,467.5,1319.5,460.5673218,1644.584961,312.4555664,983.7203979,354.5,1256.5,1660000937293336.8,0.1412128533105718,2.41666675
147.0,467.5,1319.5,460.5673218,1644.584961,312.5397644,983.7879028,353.7245178,1256.170776,1660000937310003.2,0.1411950159337301,2.43333325
148.0,467.5,1319.5,460.5673218,1644.584961,312.6267395,983.4031982,353.8641052,1256.469238,1660000937326670.0,0.1410313111716386,2.45
149.0,467.5,1319.5,460.5673218,1644.584961,312.862854,983.5253296,353.6954346,1256.666626,1660000937343336.5,0.1409597272945134,2.4666665
