Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
61.0,381.5,897.5,420.0357056,1222.607178,398.4782715,736.8912964,491.0344849,857.7318115,494.3484802,688.8863525,1660610146315000.0,0.3865563770826044,1.0
62.0,381.5,897.5,420.0357056,1222.607178,398.4833374,736.4000244,492.2550659,858.7449341,494.3484802,688.8863525,1660610146331666.8,0.3825226624609528,1.01666675
63.0,381.5,897.5,420.0357056,1222.607178,398.4833374,736.4000244,492.2550659,858.7449341,494.3768005,689.0,1660610146348333.2,0.3724921874850721,1.03333325
64.0,381.5,897.5,420.2738037,1222.607178,398.379303,736.3793335,492.2550659,858.7449341,494.5,689.0,1660610146365000.0,0.3309142547921287,1.05
65.0,381.5,897.5,420.2738037,1222.607178,398.6256409,736.5794678,492.4936829,858.5632935,494.5,689.0,1660610146381666.8,0.3309890452652937,1.06666675
66.0,381.5,897.5,420.1635132,1222.710693,398.5441284,736.696106,492.197052,858.4738159,494.5,689.0,1660610146398333.2,0.3315186781547139,1.08333325
67.0,381.5,897.5,420.1635132,1222.710693,398.5441284,736.696106,492.3353577,858.4020386,494.5,689.0,1660610146415000.0,0.33149635142095213,1.1
68.0,382.0,897.5,420.1635132,1222.710693,398.5441284,736.696106,492.4288635,858.6369629,494.6231995,689.0,1660610146431666.5,0.28931621008946096,1.1166665
69.0,382.0,897.5,420.379303,1222.620728,398.5441284,736.696106,492.4288635,858.6369629,494.5,689.0,1660610146448333.5,0.3309209133845172,1.1333335
70.0,382.0,897.5,420.1635132,1222.710693,398.6256409,736.5794678,491.9141235,858.3946533,494.5,689.0,1660610146465000.2,0.332010487980186,1.15000025
71.0,382.0,897.5,420.1635132,1222.710693,398.6256409,736.5794678,491.9141235,858.3946533,494.5,689.0,1660610146481666.8,0.332010487980186,1.16666675
72.0,382.0,897.5,420.2787781,1222.721191,398.64328,736.9356689,491.8468018,858.3995972,494.5,689.0,1660610146498333.5,0.33208011341231375,1.1833335
73.0,382.0,897.5,420.2787781,1222.721191,398.64328,736.9356689,491.9869995,858.5649414,494.8300781,689.1699219,1660610146515000.0,0.21911833637308115,1.2
74.0,382.0,897.5,420.2787781,1222.721191,398.64328,736.9356689,491.8468018,858.3995972,494.5,689.2416382,1660610146531666.8,0.33079853131273557,1.21666675
75.0,382.3725586,897.2156982,420.2787781,1222.721191,399.4025269,735.1257935,491.8468018,858.3995972,494.8300781,689.1699219,1660610146548333.5,0.21945636195702592,1.2333335
76.0,382.3725586,897.2156982,420.2787781,1222.721191,399.4025269,735.1257935,491.8468018,858.3995972,494.8300781,689.1699219,1660610146565000.0,0.21945636195702592,1.25
77.0,382.3725586,897.2156982,420.2787781,1222.721191,399.4025269,735.1257935,491.8468018,858.3995972,494.8300781,689.1699219,1660610146581666.8,0.21945636195702592,1.26666675
78.0,382.3725586,897.2156982,420.2787781,1222.721191,398.7333374,735.888916,491.8468018,858.3995972,494.8581543,689.3900757,1660610146598333.2,0.20862598121017115,1.28333325
79.0,382.3725586,897.2156982,420.2787781,1222.721191,398.7333374,735.888916,491.8468018,858.3995972,494.8300781,689.1699219,1660610146615000.0,0.21945636195702592,1.3
80.0,382.3725586,897.2156982,420.2787781,1222.721191,398.8871765,735.6871948,491.8468018,858.3995972,494.6231995,689.0,1660610146631666.8,0.2904212268145061,1.31666675
81.0,382.3725586,897.2156982,420.2787781,1222.721191,398.8871765,735.6871948,491.8468018,858.3995972,494.6231995,689.0,1660610146648333.2,0.2904212268145061,1.33333325
