Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds
91.0,384.4938965,1845.054932,215.6529236,1072.91748,271.1898499,1380.32605,1660173589500000.0,0.1141834228418142,1.5
92.0,384.6906433,1845.322388,215.7508698,1072.863159,271.1898499,1380.32605,1660173589516666.8,0.1240729534360532,1.51666675
93.0,384.5,1845.0,215.628479,1072.973999,271.0364075,1380.445435,1660173589533333.2,0.1154391419308861,1.53333325
94.0,384.5205383,1845.44519,215.4558563,1073.084717,270.6184082,1380.349976,1660173589550000.0,0.1098166917418275,1.55
95.0,384.0315247,1845.319824,214.9284515,1072.802734,270.5490112,1380.475464,1660173589566666.5,0.076646640448653,1.5666665
96.0,384.2141113,1845.639893,214.9284515,1072.802734,270.8938599,1380.222778,1660173589583333.2,0.0846071222317103,1.58333325
97.0,384.0315247,1845.319824,214.9284515,1072.802734,270.4858398,1380.668213,1660173589600000.0,0.076646640448653,1.6
98.0,384.0315247,1845.319824,214.9284515,1072.802734,270.4858398,1380.668213,1660173589616666.5,0.076646640448653,1.6166665
99.0,384.0315247,1845.319824,214.9284515,1072.802734,270.5,1380.612671,1660173589633333.5,0.076646640448653,1.6333335
100.0,384.0315247,1845.319824,214.9284515,1072.802734,270.211853,1380.819214,1660173589650000.0,0.076646640448653,1.65
101.0,384.6315002,1845.775513,214.9284515,1072.802734,270.0318298,1380.96814,1660173589666666.8,0.1120251011009081,1.66666675
102.0,384.5296936,1845.901001,214.9284515,1072.802734,269.9056091,1380.955811,1660173589683333.5,0.1028787325886846,1.6833335
103.0,384.5752563,1846.376343,214.9284515,1072.802734,269.8614502,1380.832642,1660173589700000.0,0.0987293912336406,1.7
104.0,384.5157776,1846.447388,214.9284515,1072.802734,269.2568359,1380.723999,1660173589716666.8,0.0934255202734455,1.71666675
105.0,384.5,1846.5,214.9284515,1072.802734,269.210022,1380.742554,1660173589733333.2,0.0914957697365413,1.73333325
