Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Timestamp (microseconds),angles,Seconds
119.0,295.3357544,1032.08606,748.8236694,1225.589478,470.4034119,1209.115234,1658965324966666.8,138.06707812527046,1.96666675
120.0,295.8944397,1031.317871,748.8236694,1225.589478,470.4034119,1209.115234,1658965324983333.2,137.85148984362883,1.98333325
121.0,296.9212341,1030.041138,748.3499146,1225.658325,470.3766785,1209.15332,1658965325000000.0,137.47882051063775,2.0
122.0,297.4313049,1029.661865,748.392334,1225.636475,470.5907593,1208.925781,1658965325016666.8,137.45004165836252,2.01666675
123.0,297.4916382,1029.002563,748.392334,1225.636475,470.3843689,1209.035767,1658965325033333.2,137.25818657204078,2.03333325
124.0,297.7453918,1029.359131,748.4532471,1225.559326,470.4290161,1208.714478,1658965325050000.0,137.381460848785,2.05
125.0,297.7622681,1029.237793,748.392334,1225.636475,470.2373657,1208.762573,1658965325066666.5,137.32417947531346,2.0666665
126.0,297.7477417,1028.904785,748.5,1225.5,470.2373657,1208.762573,1658965325083333.2,137.24420497077244,2.08333325
127.0,297.6615601,1029.118774,748.392334,1225.636475,470.2970276,1208.85144,1658965325100000.0,137.30015567599,2.1
128.0,297.318573,1029.182007,748.392334,1225.636475,470.2970276,1208.85144,1658965325116666.5,137.3670453823749,2.1166665
129.0,297.3627319,1029.305176,748.392334,1225.636475,470.2373657,1208.762573,1658965325133333.5,137.40116219291008,2.1333335
130.0,297.3333435,1029.566895,748.392334,1225.636475,470.4670105,1208.917969,1658965325150000.0,137.4319365400072,2.15
131.0,297.5178223,1029.462524,748.4532471,1225.559326,470.4290161,1208.988892,1658965325166666.8,137.33552999914474,2.16666675
132.0,297.2505798,1029.541992,748.4532471,1225.559326,470.3553467,1209.01416,1658965325183333.5,137.37011695025004,2.1833335
133.0,297.2382507,1029.793457,748.4532471,1225.559326,470.4034119,1209.115234,1658965325200000.0,137.38393721185838,2.2
134.0,297.1881104,1030.161865,748.7764282,1225.669312,470.4034119,1209.115234,1658965325216666.8,137.4697472475551,2.21666675
135.0,296.1951599,1030.452148,748.5,1225.5,470.151062,1208.848877,1658965325233333.2,137.70133231179582,2.23333325
136.0,296.0582275,1031.007446,748.5,1225.5,469.8076172,1209.237183,1658965325250000.0,137.61037158204343,2.25
137.0,295.525177,1031.225464,748.392334,1225.636475,469.7651978,1209.518921,1658965325266666.8,137.65190161682847,2.26666675
138.0,295.0501404,1031.073975,748.392334,1225.636475,469.7528992,1209.459351,1658965325283333.2,137.72516450084078,2.28333325
139.0,294.6029968,1031.137695,748.3499146,1225.658325,469.7528992,1209.459351,1658965325300000.0,137.8135963048983,2.3
140.0,294.4148865,1031.005859,748.392334,1225.636475,469.7528992,1209.459351,1658965325316666.5,137.81819069216704,2.3166665
141.0,294.2874451,1030.514526,747.843811,1225.618652,469.7528992,1209.459351,1658965325333333.2,137.76312750221075,2.33333325
142.0,294.1612549,1029.995239,748.1011963,1225.670654,469.7528992,1209.459351,1658965325350000.0,137.7083221646526,2.35
143.0,294.4335632,1029.661987,747.3890991,1225.723633,469.7528992,1209.459351,1658965325366666.5,137.63016553353793,2.3666665
144.0,294.6204529,1029.36377,747.5583496,1225.681152,469.7528992,1209.459351,1658965325383333.5,137.54139194320695,2.3833335
145.0,294.7731628,1029.46875,747.4825439,1226.470459,469.7528992,1209.459351,1658965325400000.0,137.6962720053774,2.4
146.0,294.9326172,1029.318848,747.4396973,1226.570923,469.7528992,1209.459351,1658965325416666.8,137.66751673376265,2.41666675
147.0,295.3188782,1029.318848,747.4676514,1226.368774,469.6786194,1209.321411,1658965325433333.5,137.5994307139698,2.4333335
148.0,295.6368103,1029.125488,747.7041626,1226.376221,469.6786194,1209.321411,1658965325450000.0,137.51498356748354,2.45
149.0,295.7027283,1029.17041,747.5852051,1226.255615,469.7528992,1209.459351,1658965325466666.8,137.4508977760877,2.46666675
