,motion,angular vel correlation,angular disp correlation
122,chestaa,0.7735876344981361,0.9611743318976567
123,chestaa,0.9303577609877908,0.9908483710508706
124,chestaa,0.7275603250309702,0.9915485129500254
125,chestaa,0.6373328951885746,0.9987338124120723
126,chestaa,0.009770824956323731,0.7035032225658857
127,chestaa,0.8212561569411946,0.979692922114032
128,chestaa,0.776488108133935,0.971235140618439
129,chestaa,0.12264184889216662,0.8053740340919848
130,chestaa,0.2547827378252321,0.9178436019796751
131,fingerp,0.6645872239080635,0.3700906704921047
132,fingerp,0.5246484010376302,0.8751488581035967
133,fingerp,0.6968452975604331,0.8861569021714889
134,fingerp,0.4840044135566877,0.787681665716474
135,fingerp,0.55980782133214,0.7959655246552506
136,fingerp,0.5976828598343786,0.8526000183851139
137,fingerp,0.41812944884021064,0.7837847368626962
138,fingerp,0.3728566642121236,0.6284700141440599
139,fingerp,0.5003061961507842,0.8557798891015184
140,fingerp,0.43893213847647256,0.5942469811987211
141,fingerp,0.22834959208499805,0.551649203298317
142,fingerp,0.305746682168564,0.5341523634404634
143,fingerp,0.8751043535992806,0.9847155682407972
144,fingerp,0.8626770989300541,0.9743089709315034
145,fingerp,0.824450438041102,0.9733984994063772
146,fingerp,0.6105619284876564,0.7691303067078646
147,fingerp,0.5615168184192801,0.8630542961635301
148,fingerp,0.5095676143102261,0.8645488942720347
149,fingerp,0.6674280614512497,0.8992979572476658
150,fingerp,0.5544346319434217,0.9421900088400665
151,fingerp,0.7177496810655631,0.9639867781823299
152,fingerp,0.33208096417084587,0.7637113598518753
153,fingerp,0.41475353758116107,0.8718562792737389
154,fingerp,0.5498277423460882,0.7896366093658177
155,fingerp,0.6258057115087354,0.942242282638593
156,fingerp,0.654084816540955,0.8956536685635974
157,fingerp,0.658258038131848,0.9194729771603564
158,fingerp,0.4523362055512195,0.8615224677505953
159,fingerp,0.4403594866483131,0.8446678130043709
160,fingerp,0.5725485899557966,0.8450140326823121
161,shoulderaa,0.053144036694751096,0.5070121143957337
162,shoulderaa,0.027263469249021514,0.48468931475430943
163,shoulderaa,0.06010159435381249,0.44924736376896657
164,shoulderaa,0.0719707662313334,0.23224415753718133
165,shoulderaa,0.1355543620529277,0.5520099049538816
166,shoulderaa,0.23835596358563682,0.27076249346077924
167,shoulderaa,0.17078242186120945,0.957303792615418
168,shoulderaa,0.06357152544131514,0.8744144297957497
169,shoulderaa,0.34465734151820887,0.7081894471122505
170,shoulderaa,0.2355309762099771,0.9232372110387131
171,shoulderaa,0.22604172223346838,0.8579878970051964
172,shoulderaa,0.0679166454562988,0.08577561137348014
173,shoulderaa,0.9833442182844712,0.9868758451823081
174,shoulderaa,0.9829032292505608,0.9939878697113769
175,shoulderaa,0.9871596251342115,0.9985933829171384
176,shoulderaa,0.8428073105937913,0.8461974810232232
177,shoulderaa,0.7834368181058573,0.8549650200223083
178,shoulderaa,0.8339740679621978,0.8332589006188722
179,shoulderaa,0.42783868842593814,0.9980748489664121
180,shoulderaa,0.28360266821220176,0.8758378450064713
181,shoulderaa,0.5713533435904159,0.9975913671667562
182,shoulderaa,0.222495322110458,0.4192375047528222
183,shoulderaa,0.299307675598446,0.9504537365256048
184,shoulderaa,0.15709387486487933,0.8248303349159275
185,shoulderaa,0.9250840023909085,0.9890144686430703
186,shoulderaa,0.6871976488798972,0.971865714150622
187,shoulderaa,0.11714163289923389,0.9530289453478178
188,shoulderaa,0.3166356938518721,0.9199005732652743
189,shoulderaa,0.47710922191774946,0.9729505343069189
190,shoulderaa,0.39575806181006873,0.9578248618713547
191,shoulderaa,0.2954526864988746,0.4402440989041121
192,shoulderaa,0.11355187049323218,0.9392520971290055
193,shoulderaa,0.036000667073985596,0.5391799022859313
194,shoulderaa,0.15962028935147243,0.8204759784879416
195,shoulderaa,0.21343192432932315,0.9379544975459305
196,shoulderaa,0.024551268887124115,0.421019645848709
