Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow Green X,Elbow Green Y,Timestamp (microseconds),angles,Seconds
90.0,361.7786865,902.8201904,941.9058228,1117.159058,606.772583,1102.5,1660091103525003.5,143.32316837471316,1.4833335
91.0,361.7786865,902.8201904,941.9058228,1117.159058,606.6986084,1102.420166,1660091103541670.0,143.33898285816036,1.5
92.0,361.5189514,902.8457642,941.9058228,1117.159058,606.6986084,1102.420166,1660091103558336.8,143.3723140354806,1.51666675
93.0,361.5189514,902.8457642,941.9058228,1117.159058,606.6986084,1102.420166,1660091103575003.5,143.3723140354806,1.5333335
94.0,361.5189514,902.8457642,941.7960205,1117.233887,606.6986084,1102.420166,1660091103591670.0,143.3859075540457,1.55
95.0,361.4716797,902.8445435,941.9058228,1117.159058,606.6414185,1102.358521,1660091103608336.8,143.38975907963945,1.56666675
96.0,361.3265991,902.8893433,941.9058228,1117.159058,606.6986084,1102.420166,1660091103625003.2,143.4004361764098,1.58333325
97.0,361.1169434,903.0214844,941.9058228,1117.159058,606.6986084,1102.420166,1660091103641670.0,143.44296285189773,1.6
98.0,361.1673584,903.1385498,941.7022095,1116.936768,606.6986084,1102.420166,1660091103658336.8,143.41725368126126,1.61666675
99.0,361.1673584,903.1385498,941.7753296,1117.191406,606.6986084,1102.420166,1660091103675003.5,143.46017122067687,1.6333335
100.0,361.1673584,903.1385498,941.7022095,1116.936768,606.6986084,1102.420166,1660091103691670.2,143.41725368126126,1.65000025
101.0,361.1673584,903.1385498,941.7753296,1117.191406,606.6414185,1102.358521,1660091103708336.8,143.4724023942009,1.66666675
102.0,361.1673584,903.1385498,941.7022095,1116.936768,606.6986084,1102.420166,1660091103725003.5,143.41725368126126,1.6833335
103.0,361.1673584,903.1385498,941.7022095,1116.936768,606.6986084,1102.420166,1660091103741670.2,143.41725368126126,1.70000025
104.0,361.1673584,903.1385498,941.7022095,1116.936768,606.6986084,1102.420166,1660091103758336.8,143.41725368126126,1.71666675
105.0,361.1673584,903.1385498,941.8838501,1117.116211,606.6986084,1102.420166,1660091103775003.5,143.44652618395534,1.7333335
106.0,361.1673584,903.1385498,941.8838501,1117.116211,606.6986084,1102.420166,1660091103791670.0,143.44652618395534,1.75
107.0,361.1210938,903.1210938,941.8838501,1117.116211,606.6986084,1102.420166,1660091103808336.8,143.44935259627272,1.76666675
108.0,361.1673584,903.1385498,941.8838501,1117.116211,606.6986084,1102.420166,1660091103825003.5,143.44652618395534,1.7833335
109.0,361.1673584,903.1385498,941.8838501,1117.116211,606.6986084,1102.420166,1660091103841670.0,143.44652618395534,1.8
110.0,361.1673584,903.1385498,942.1151733,1116.981812,606.772583,1102.5,1660091103858336.8,143.40603192297257,1.81666675
111.0,361.1673584,903.1385498,942.1151733,1116.981812,606.772583,1102.5,1660091103875003.2,143.40603192297257,1.83333325
112.0,361.1673584,903.1385498,942.2123413,1116.927124,606.772583,1102.5,1660091103891670.0,143.39599267775773,1.85
113.0,361.1673584,903.1385498,942.0488892,1116.743896,606.6986084,1102.420166,1660091103908336.8,143.3817997865365,1.86666675
