Frame #,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
15.0,300.1253052,1860.0354,164.2815704,1078.741211,214.9142456,1385.81604,1660173507233333.2,0.485170004846718,0.23333325,0.1865847609690291,0.1021321328578884,0.1336099370807577,-1.1563645400432314,-0.6706421201895908,-0.8615473273676041
16.0,299.7920227,1860.065552,164.2173004,1078.436768,214.9601746,1385.904175,1660173507250000.0,0.5090677333224308,0.25,0.186377562727094,0.102092176871573,0.13363849065934,-1.1563832852260445,-0.6704528511629559,-0.8616021199746354
17.0,299.5,1860.0,164.2173004,1078.436768,215.106781,1385.730103,1660173507266666.8,0.5290424479521615,0.26666675,0.1861960152709716,0.102092176871573,0.1337296343237581,-1.156342532233747,-0.6704528511629559,-0.8614939012341674
18.0,300.0254211,1860.372925,164.6687317,1078.512329,215.4509735,1385.514648,1660173507283333.2,0.4963672412391358,0.28333325,0.1865226640695001,0.1023728269858588,0.1339436151985032,-1.1565743758030125,-0.6704998266457936,-0.8613599551157359
19.0,299.5,1859.5,165.0419312,1078.165649,215.5308075,1385.29541,1660173507300000.0,0.522897950157045,0.3,0.1861960152709716,0.102604841208901,0.1339932471607173,-1.1560316874670176,-0.670284299318334,-0.8612236571457993
20.0,299.6082764,1859.218506,165.6985168,1078.04248,215.6188202,1385.375,1660173507316666.5,0.5118213816095099,0.3166665,0.1862633295755722,0.1030130336042409,0.1340479637351188,-1.155856685593486,-0.6702077264401874,-0.8612731374157674
21.0,301.0698853,1858.70166,165.6985168,1078.04248,216.1590881,1385.368164,1660173507333333.2,0.40132988210631065,0.33333325,0.1871719965307128,0.1030130336042409,0.1343838426338127,-1.155535367844876,-0.6702077264401874,-0.8612688875461166
22.0,301.0698853,1858.70166,165.6985168,1078.04248,216.2205353,1384.979858,1660173507350000.0,0.40132988210631065,0.35,0.1871719965307128,0.1030130336042409,0.134422043714913,-1.155535367844876,-0.6702077264401874,-0.8610274817701372
23.0,301.3389282,1858.282959,165.6985168,1078.04248,216.8484802,1385.304443,1660173507366666.5,0.37697562923002487,0.3666665,0.1873392576856942,0.1030130336042409,0.134812430486832,-1.155275065815527,-0.6702077264401874,-0.8612292728673551
24.0,302.5229797,1858.124512,165.6985168,1078.04248,217.0041809,1385.269165,1660173507383333.5,0.2906190341445404,0.3833335,0.1880753701103207,0.1030130336042409,0.1349092279823742,-1.1551765609740192,-0.6702077264401874,-0.8612073409039936
25.0,302.1860046,1858.333374,165.6985168,1078.04248,217.1356964,1384.998535,1660173507400000.0,0.31723605147741674,0.4,0.1878658762176143,0.1030130336042409,0.1349909897922118,-1.1553064082933564,-0.6702077264401874,-0.8610390930655537
