Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds
54.0,429.1418457,865.6099243,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.4143066,722.7761841,1660612330495003.5,-0.04664511361301779,0.8833335
55.0,429.1418457,865.6099243,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.4143066,722.7761841,1660612330511670.0,-0.04664511361301779,0.9
56.0,428.8581543,865.3900757,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.333313,722.666687,1660612330528336.8,-0.01533821326144265,0.91666675
57.0,428.8581543,865.3900757,483.3492126,1126.222168,445.5178528,748.0892944,529.0,880.0,536.333313,722.666687,1660612330545003.5,-0.01533821326144265,0.9333335
58.0,428.8581543,865.3900757,483.441864,1126.240356,445.5178528,748.0892944,529.0,880.0,536.2988281,722.5,1660612330561670.0,0.0,0.95
59.0,428.8581543,865.3900757,483.441864,1126.240356,445.5178528,748.0892944,529.0,880.0,536.2988281,722.5,1660612330578336.8,0.0,0.96666675
60.0,428.8581543,865.3900757,483.441864,1126.240356,445.5178528,748.0892944,529.0,880.0,536.1375732,722.6772461,1660612330595003.2,0.05561944132373132,0.98333325
61.0,428.8581543,865.3900757,483.441864,1126.240356,445.5178528,748.0892944,529.0,880.0,536.1375732,722.6772461,1660612330611670.0,0.05561944132373132,1.0
62.0,429.0,865.5,483.441864,1126.240356,445.5,748.0,529.7126465,879.7126465,536.1375732,722.6772461,1660612330628336.8,0.056030004169494926,1.01666675
63.0,429.0,865.5,483.441864,1126.240356,445.5113525,747.9014893,529.7126465,879.7126465,536.1375732,722.6772461,1660612330645003.2,0.056030004169494926,1.03333325
64.0,429.0,865.5,483.441864,1126.240356,445.5,748.0,529.7126465,879.7126465,536.1375732,722.6772461,1660612330661670.0,0.056030004169494926,1.05
65.0,429.0,865.5,483.441864,1126.240356,445.6740723,747.9777832,529.7126465,879.7126465,536.1375732,722.6772461,1660612330678336.5,0.056030004169494926,1.0666665
66.0,429.0,865.5,483.441864,1126.240356,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330695003.2,0.056030004169494926,1.08333325
67.0,428.9181213,865.7953491,483.441864,1126.240356,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330711670.0,0.056030004169494926,1.1
68.0,429.0,865.5,483.441864,1126.240356,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330728336.5,0.056030004169494926,1.1166665
69.0,429.35672,865.4093628,483.3492126,1126.222168,445.6740723,748.3259277,529.7126465,879.7126465,536.1375732,722.6772461,1660612330745003.5,0.056030004169494926,1.1333335
70.0,429.3232422,865.3081055,483.5065002,1126.419922,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330761670.0,0.056030004169494926,1.15
71.0,429.3232422,865.3081055,483.5065002,1126.419922,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330778336.8,0.056030004169494926,1.16666675
72.0,429.2070618,866.0302734,483.5065002,1126.419922,445.7824707,748.164917,529.7126465,879.7126465,536.1375732,722.6772461,1660612330795003.5,0.056030004169494926,1.1833335
73.0,429.3227539,866.1375732,483.5065002,1126.419922,445.6740723,748.3259277,529.7126465,879.7126465,536.1375732,722.6772461,1660612330811670.0,0.056030004169494926,1.2
74.0,429.2070618,866.0302734,483.5065002,1126.419922,445.7824707,748.164917,529.7126465,879.7126465,536.2988281,722.5,1660612330828336.8,0.0,1.21666675
75.0,429.2070618,866.0302734,483.5065002,1126.419922,445.6740723,748.3259277,529.7126465,879.7126465,535.6099243,722.8581543,1660612330845003.2,0.2457732540348624,1.23333325
76.0,429.2070618,866.0302734,483.5065002,1126.419922,445.6976013,748.1821289,529.7126465,879.7126465,536.0,722.5,1660612330861670.0,0.10872490686143664,1.25
77.0,429.0,866.0,483.5065002,1126.419922,445.5869446,748.3405762,529.7126465,879.7126465,536.109314,722.5847168,1660612330878336.8,0.06769557072044416,1.26666675
78.0,429.1029358,866.0294189,483.6088867,1126.431152,445.4285583,748.5595093,529.7126465,879.7126465,535.2380981,722.414978,1660612330895003.2,0.38709346654654125,1.28333325
79.0,429.1029358,866.0294189,483.6088867,1126.431152,445.1774902,748.4069214,529.7126465,879.7126465,535.0,722.5,1660612330911670.0,0.4726781274502498,1.3
80.0,429.3227539,866.1375732,483.5065002,1126.419922,445.4285583,748.5595093,529.7126465,879.7126465,535.0,722.5,1660612330928336.5,0.4726781274502498,1.3166665
81.0,429.0,866.0,483.5065002,1126.419922,445.2270508,748.6763306,529.6913452,879.5802612,535.0,722.5,1660612330945003.2,0.47307050346214297,1.33333325
82.0,429.1130066,866.1129761,483.3963928,1126.48645,445.4285583,748.5595093,529.1929932,879.8070068,535.109314,722.7814331,1660612330961670.0,0.42865584248853617,1.35
83.0,429.1130066,866.1129761,483.3963928,1126.48645,445.2270508,748.6763306,529.1929932,879.8070068,535.109314,722.7814331,1660612330978336.5,0.42865584248853617,1.3666665
84.0,429.8533325,866.1466675,482.9047546,1124.514282,445.7897339,749.1333618,529.222229,879.9060059,535.3743286,722.5794678,1660612330995003.5,0.3347942521828162,1.3833335
85.0,429.0,866.5,482.9047546,1124.514282,445.7203064,749.1800537,529.222229,879.9060059,535.109314,722.7814331,1660612331011670.0,0.4284151931542187,1.4
