Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Body Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
52.0,159.9729462,1736.532227,333.5,1243.5,138.9428101,1045.661743,131.8984222,1304.59082,1659998217276670.0,0.2945330122878722,0.85,0.26243827674818704,0.5471122922628301,0.22793798898725667,0.2163815535702925,2.848809976918282,2.039982415078948,1.7154254666994788,2.1402029205254722
53.0,159.9729462,1736.532227,333.5,1243.5,138.9219513,1045.647095,131.8984222,1304.59082,1659998217293336.8,0.2945052799682997,0.86666675,0.26243827674818704,0.5471122922628301,0.22790376977921512,0.2163815535702925,2.848809976918282,2.039982415078948,1.7154014364120518,2.1402029205254722
54.0,159.9729462,1736.532227,333.5,1243.5,139.0317535,1045.314331,131.8984222,1304.59082,1659998217310003.5,0.2944086742092923,0.8833335,0.26243827674818704,0.5471122922628301,0.2280839021130607,0.2163815535702925,2.848809976918282,2.039982415078948,1.71485553154002,2.1402029205254722
55.0,160.1629181,1736.240967,333.5,1243.5,139.1820984,1045.333374,131.8984222,1304.59082,1659998217326670.2,0.2945571097217326,0.90000025,0.2627499288071812,0.5471122922628301,0.2283305454200143,0.2163815535702925,2.848332160047984,2.039982415078948,1.7148867718979859,2.1402029205254722
56.0,160.1500702,1736.203613,333.5,1243.5,139.1666718,1045.228027,131.8984222,1304.59082,1659998217343336.8,0.2944805204859002,0.91666675,0.26272885161371856,0.5471122922628301,0.22830523782634765,0.2163815535702925,2.848270880190217,2.039982415078948,1.714713948393779,2.1402029205254722
57.0,160.1500702,1736.203613,333.5,1243.5,139.1007385,1045.352539,131.8984222,1304.59082,1659998217360003.5,0.2944942438868998,0.9333335,0.26272885161371856,0.5471122922628301,0.2281970731519865,0.2163815535702925,2.848270880190217,2.039982415078948,1.7149182123989788,2.1402029205254722
58.0,160.1500702,1736.203613,333.5,1243.5,139.1007385,1045.352539,131.8984222,1304.59082,1659998217376670.0,0.2944942438868998,0.95,0.26272885161371856,0.5471122922628301,0.2281970731519865,0.2163815535702925,2.848270880190217,2.039982415078948,1.7149182123989788,2.1402029205254722
59.0,160.1500702,1736.203613,333.5,1243.5,139.1557617,1045.285034,131.8984222,1304.59082,1659998217393336.8,0.2945044014221238,0.96666675,0.26272885161371856,0.5471122922628301,0.2282873396259884,0.2163815535702925,2.848270880190217,2.039982415078948,1.7148074693246484,2.1402029205254722
60.0,160.1981812,1736.324951,333.9141235,1244.284302,139.0165863,1045.401245,131.8984222,1304.59082,1659998217410003.5,0.2421953835442081,0.9833335,0.26280777850875026,0.5477916687466828,0.2280590200694049,0.2163815535702925,2.8484699371956705,2.0412690755438545,1.7149981154013985,2.1402029205254722
61.0,160.1981812,1736.324951,333.9141235,1244.284302,139.1666718,1045.228027,131.8984222,1304.59082,1659998217426670.0,0.2423770055954315,1.0,0.26280777850875026,0.5477916687466828,0.22830523782634765,0.2163815535702925,2.8484699371956705,2.0412690755438545,1.714713948393779,2.1402029205254722
62.0,160.1981812,1736.324951,333.9141235,1244.284302,138.7761383,1045.253296,131.8984222,1304.59082,1659998217443336.8,0.2418972967563857,1.01666675,0.26280777850875026,0.5477916687466828,0.22766456112952482,0.2163815535702925,2.8484699371956705,2.0412690755438545,1.7147554026082112,2.1402029205254722
63.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6589203,1045.110107,131.8984222,1304.59082,1659998217460003.5,0.2417510827510867,1.0333335,0.26280777850875026,0.5477916687466828,0.22747226305253992,0.2163815535702925,2.8484699371956705,2.0412690755438545,1.7145204986741276,2.1402029205254722
64.0,160.1981812,1736.324951,333.9141235,1244.284302,138.8171539,1045.024292,131.7918396,1304.623047,1659998217476670.0,0.2419437635163739,1.05,0.26280777850875026,0.5477916687466828,0.22773184790294168,0.21620670304375178,2.8484699371956705,2.0412690755438545,1.714379717740513,2.140255789454536
65.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6298065,1045.19043,131.5,1304.5,1659998217493336.8,0.2417166436127547,1.06666675,0.26280777850875026,0.5477916687466828,0.22742450137981282,0.21572793533002144,2.8484699371956705,2.0412690755438545,1.714652269890474,2.140053928806182
66.0,160.1981812,1736.324951,333.9141235,1244.284302,138.5078583,1045.18396,131.5,1304.5,1659998217510003.2,0.2415669532351405,1.08333325,0.26280777850875026,0.5477916687466828,0.2272244433311192,0.21572793533002144,2.8484699371956705,2.0412690755438545,1.7146416557479522,2.140053928806182
67.0,160.1981812,1736.324951,333.9141235,1244.284302,138.6012421,1045.014038,131.5,1304.5,1659998217526670.0,0.2416787799442586,1.1,0.26280777850875026,0.5477916687466828,0.22737764100691596,0.21572793533002144,2.8484699371956705,2.0412690755438545,1.714362895883107,2.140053928806182
